author_sex	past_tense	perfect_aspect	present_tense	place_adv	time_adv	pron_1st	pron_2nd	pron_3d	it	nominal	gerund	passives	there	that_compl	wh	inf	that_subj	that_obj	wh_subj	wh_obj	because	prep	adv	downtoners	hedges	discourse_part	modal	contract	phrase_coord	type_token	word_length
A04	male	21.272	5.928	44.185	1.208	2.303	4.469	0.365	17.715	6.498	29.365	9.371	1.892	2.964	2.827	0.41	12.471	0.479	1.094	3.124	0.798	0.365	124.917	41.768	2.599	0.684	0.137	13.748	0.365	10.488	0.111	4.808
A05	male	19.893	9.556	61.621	1.983	3.882	7.489	2.046	29.829	10.189	17.784	7.13	1.034	2.742	5.38	0.316	17.024	1.413	1.329	5.253	1.245	0.274	112.208	41.369	1.519	0.464	0.232	11.498	2.827	8.565	0.117	4.506
A06	male	16.545	6.09	67.29	1.726	4.216	20.268	21.107	15.953	10.159	18.542	14.005	1.652	3.107	3.328	0.937	16.94	1.208	0.493	2.268	0.37	0.937	94.314	58.734	1.627	0.345	1.011	15.411	10.603	7.718	0.108	4.434
A07	male	28.294	6.666	30.202	2	2.919	1.218	0.115	11.309	6.987	38.201	8.826	1.908	2.896	4.115	0.115	13.998	0.092	1.287	2.436	0.529	0.85	130.462	41.005	2.574	0.276	0.115	7.608	0.069	9.792	0.098	5.111
A08	male	49.544	8.388	49.501	2.345	6.613	30.064	7.585	32.832	16.606	14.345	12.148	0.253	3.317	3.423	0.549	17.071	0.423	0.93	0.401	0.296	1.12	85.735	66.784	3.951	0.38	0.528	12.064	4.394	6.465	0.085	4.21
A0F	male	58.405	10.312	48.155	4.818	7.339	65.683	21.095	17.958	14.022	7.688	9.451	0.492	2.727	2.378	0.759	20.746	0.8	0.779	0.8	0.164	0.697	71.525	82.37	2.153	1.087	1.415	12.731	28.003	3.075	0.065	3.971
A0H	male	5.489	4.423	65.98	5.72	3.103	2.154	9.611	10.19	13.687	15.493	22.673	1.389	3.404	5.535	0.741	28.184	0.185	0.695	1.505	0.116	2.316	92.635	79.273	2.617	0.88	0.046	19.569	0.695	7.828	0.059	4.483
A0K	male	24.032	8.366	46.546	3.605	3.718	13.807	0.862	14.805	6.258	32.285	9.976	2.018	1.678	3.809	0.635	18.024	0.204	1.111	4.126	1.066	1.111	112.771	50.536	2.653	0.567	0.204	9.704	0.748	9.726	0.104	5.014
A0L	female	61.257	8.732	46.633	3.403	4.978	26.525	19.66	42.627	10.365	4.939	12.349	0.195	1.575	1.38	0.622	10.462	0.428	0.331	0.603	0.097	0.35	68.549	57.717	1.731	0.797	1.731	8.479	18.98	7.545	0.096	4.174
A0M	male	3.189	3.379	82.612	4.366	3.037	2.733	35.801	7.973	9.757	16.135	15.68	1.557	1.367	4.214	0.494	19.476	0.835	0.835	1.595	0.38	2.278	84.169	74.26	3.037	0.228	0.038	18.641	2.392	5.011	0.091	4.584
A0N	male	61.969	9.096	27.523	6.881	6.306	14.677	8.777	45.843	9.16	6.561	13.037	0.277	2.215	1.491	0.277	11.972	0.533	0.469	0.916	0.234	0.298	96.351	59.498	1.321	0.49	1.598	14.506	0.916	7.925	0.096	4.267
A0R	female	76.773	6.745	27.63	4.287	5.817	26.101	12.536	45.833	10.631	7.045	8.174	0.501	2.006	1.63	0.652	12.837	0.176	0.276	0.903	0.351	0.627	85.874	53.104	1.555	0.251	0.527	11.508	13.74	5.14	0.098	4.192
A0T	male	10.893	3.661	64.349	1.999	2.897	16.396	0.539	10.264	10.467	35.016	11.837	1.504	3.436	6.94	0.988	15.093	2.313	2.83	2.201	0.764	1.46	114.682	51.232	2.583	0.382	0.382	14.824	0.651	6.469	0.083	4.987
A0W	male	0.854	1.451	77.094	4.098	3.159	0	21.429	4.354	7.684	18.1	16.563	2.134	1.025	2.22	0.427	14.428	0.256	0.427	1.964	0.085	1.195	92.717	71.971	3.074	0.683	0.085	17.075	0.171	7.769	0.12	4.673
