id	word1	pos1	word2	pos2	O11	O12	O21	O22
1	%	N	.	.	8	67	45465	864228
2	%	N	in	I	6	69	17981	891712
3	%	N	of	I	18	57	35481	874212
4	%	S	.	.	5	49	45468	864246
5	%	S	of	I	15	39	35484	874230
6	&	C	co.	Y	7	152	36	909573
7	&	C	o.	Y	17	142	8	909601
8	&	C	o	Y	5	154	9	909600
9	&	C	ohio	Y	7	152	19	909590
10	&	C	sharpe	Y	24	135	9	909600
11	1.1	C	billion	C	5	2	57	909704
12	1	C	.	.	56	173	45417	864122
13	1	C	and	C	22	207	20559	888980
14	1	C	st.	Y	10	219	126	909413
15	1	C	tablespoon	N	5	224	1	909538
16	1	C	to	T	20	209	24779	884760
17	1	L	.	.	42	3	45431	864292
18	10	C	.	.	13	135	45460	864160
19	10	C	and	C	6	142	20575	889045
20	10	C	days	N	5	143	369	909251
21	10	C	million	C	5	143	199	909421
22	10	C	per	I	12	136	349	909271
23	10	C	to	T	9	139	24790	884830
24	10	C	years	N	12	136	927	908693
25	100	C	hours	N	5	82	168	909513
26	100	C	million	C	5	82	199	909482
27	100	C	to	T	6	81	24793	884888
28	104	C	of	I	5	0	35494	874269
29	11	C	.	.	6	40	45467	864255
30	12	C	.	.	11	94	45462	864201
31	12	C	cup	N	7	98	34	909629
32	12	C	months	N	10	95	181	909482
33	13	C	.	.	7	27	45466	864268
34	14	C	.	.	8	50	45465	864245
35	15	C	.	.	7	80	45466	864215
36	15	C	million	C	6	81	198	909483
37	15	C	minutes	N	10	77	182	909499
38	15	C	per	I	6	81	355	909326
39	15	C	years	N	8	79	931	908750
40	15th	J	day	N	6	7	609	909146
41	16	C	.	.	6	32	45467	864263
42	18	C	.	.	5	36	45468	864259
43	18	C	years	N	5	36	934	908793
44	1927	C	.	.	5	4	45468	864291
45	1937	C	.	.	5	2	45468	864293
46	1940	C	.	.	5	5	45468	864290
47	1949	C	.	.	5	6	45468	864289
48	1950	C	.	.	5	11	45468	864284
49	1951	C	.	.	6	5	45467	864290
50	1952	C	.	.	7	7	45466	864288
51	1954	C	.	.	7	17	45466	864278
52	1957	C	.	.	8	13	45465	864282
53	1958	C	.	.	15	27	45458	864268
