"cat","passive","n_w","n_s","name"
"A",1023,100911,4328,"press reportage"
"B",617,60430,2602,"press editorial"
"C",326,39285,1515,"press reviews"
"D",468,38873,1701,"religion"
"E",1070,85261,3262,"skills / hobbies"
"F",1005,100349,4066,"popular lore"
"G",1571,174606,6029,"belles lettres"
"H",834,66631,2145,"miscellaneous"
"J",2468,179824,5675,"learned"
"K",371,69098,3830,"general fiction"
"L",339,57697,3597,"detective"
"M",71,14423,881,"science fiction"
"N",304,70947,4663,"adventure"
"P",333,70645,4501,"romance"
"R",134,20884,947,"humour"
