id	passive	n_w	n_s	cat	genre	lang
A01	13	2249	106	A	press reportage	BrE
A02	37	2289	92	A	press reportage	BrE
A03	19	2225	65	A	press reportage	BrE
A04	20	2230	77	A	press reportage	BrE
A05	27	2274	103	A	press reportage	BrE
A06	25	2311	119	A	press reportage	BrE
A07	10	2335	100	A	press reportage	BrE
A08	20	2237	97	A	press reportage	BrE
A09	22	2344	117	A	press reportage	BrE
A10	16	2352	119	A	press reportage	BrE
A11	41	2238	70	A	press reportage	BrE
A12	29	2355	110	A	press reportage	BrE
A13	32	2481	107	A	press reportage	BrE
A14	29	2260	92	A	press reportage	BrE
A15	31	2182	74	A	press reportage	BrE
A16	22	2273	122	A	press reportage	BrE
A17	15	2283	71	A	press reportage	BrE
A18	14	2330	88	A	press reportage	BrE
A19	11	2348	99	A	press reportage	BrE
A20	40	2197	97	A	press reportage	BrE
A21	25	2254	91	A	press reportage	BrE
A22	13	2327	108	A	press reportage	BrE
A23	20	2272	105	A	press reportage	BrE
A24	29	2361	114	A	press reportage	BrE
A25	23	2233	87	A	press reportage	BrE
A26	16	2367	112	A	press reportage	BrE
A27	29	2268	84	A	press reportage	BrE
A28	21	2289	114	A	press reportage	BrE
A29	25	2250	75	A	press reportage	BrE
A30	21	2297	120	A	press reportage	BrE
A31	21	2214	89	A	press reportage	BrE
A32	30	2283	77	A	press reportage	BrE
A33	26	2293	102	A	press reportage	BrE
A34	33	2279	89	A	press reportage	BrE
A35	19	2362	129	A	press reportage	BrE
A36	26	2255	85	A	press reportage	BrE
A37	19	2321	90	A	press reportage	BrE
A38	28	2313	111	A	press reportage	BrE
A39	11	2415	105	A	press reportage	BrE
A40	19	2312	107	A	press reportage	BrE
A41	10	2329	152	A	press reportage	BrE
A42	25	2295	81	A	press reportage	BrE
A43	33	2310	96	A	press reportage	BrE
A44	28	2219	80	A	press reportage	BrE
B01	24	2219	116	B	press editorial	BrE
B02	25	2207	80	B	press editorial	BrE
B03	18	2182	104	B	press editorial	BrE
B04	26	2279	178	B	press editorial	BrE
B05	22	2281	99	B	press editorial	BrE
B06	22	2223	85	B	press editorial	BrE
B07	33	2232	88	B	press editorial	BrE
B08	16	2250	109	B	press editorial	BrE
B09	22	2243	75	B	press editorial	BrE
B10	24	2278	93	B	press editorial	BrE
B11	18	2237	77	B	press editorial	BrE
B12	24	2218	86	B	press editorial	BrE
B13	19	2221	138	B	press editorial	BrE
B14	23	2276	132	B	press editorial	BrE
B15	23	2281	92	B	press editorial	BrE
B16	20	2286	99	B	press editorial	BrE
B17	32	2235	73	B	press editorial	BrE
B18	22	2205	77	B	press editorial	BrE
B19	25	2210	81	B	press editorial	BrE
B20	14	2216	96	B	press editorial	BrE
B21	26	2263	80	B	press editorial	BrE
B22	22	2273	76	B	press editorial	BrE
B23	22	2173	76	B	press editorial	BrE
B24	19	2274	101	B	press editorial	BrE
B25	28	2176	99	B	press editorial	BrE
B26	25	2218	107	B	press editorial	BrE
B27	23	2274	85	B	press editorial	BrE
E01	26	2262	100	E	skills / hobbies	BrE
E02	51	2250	101	E	skills / hobbies	BrE
E03	26	2268	90	E	skills / hobbies	BrE
E04	38	2201	108	E	skills / hobbies	BrE
E05	19	2242	85	E	skills / hobbies	BrE
E06	25	2176	91	E	skills / hobbies	BrE
E07	25	2235	85	E	skills / hobbies	BrE
E08	30	2225	74	E	skills / hobbies	BrE
E09	23	2242	93	E	skills / hobbies	BrE
E10	24	2190	64	E	skills / hobbies	BrE
E11	17	2396	81	E	skills / hobbies	BrE
E12	25	2241	99	E	skills / hobbies	BrE
E13	22	2300	72	E	skills / hobbies	BrE
E14	20	2248	79	E	skills / hobbies	BrE
E15	9	2265	87	E	skills / hobbies	BrE
E16	21	2280	50	E	skills / hobbies	BrE
E17	16	2294	117	E	skills / hobbies	BrE
E18	29	2192	75	E	skills / hobbies	BrE
E19	13	2277	112	E	skills / hobbies	BrE
E20	14	2245	97	E	skills / hobbies	BrE
E21	14	2363	86	E	skills / hobbies	BrE
E22	27	2181	77	E	skills / hobbies	BrE
E23	45	2224	91	E	skills / hobbies	BrE
E24	33	2250	97	E	skills / hobbies	BrE
E25	46	2269	107	E	skills / hobbies	BrE
E26	25	2256	69	E	skills / hobbies	BrE
E27	53	2165	69	E	skills / hobbies	BrE
E28	32	2211	69	E	skills / hobbies	BrE
E29	35	2381	85	E	skills / hobbies	BrE
E30	14	2257	81	E	skills / hobbies	BrE
E31	29	2219	84	E	skills / hobbies	BrE
E32	24	2166	50	E	skills / hobbies	BrE
E33	48	2179	67	E	skills / hobbies	BrE
E34	23	2195	120	E	skills / hobbies	BrE
E35	32	2251	86	E	skills / hobbies	BrE
E36	45	2207	80	E	skills / hobbies	BrE
E37	43	2198	90	E	skills / hobbies	BrE
E38	29	2260	94	E	skills / hobbies	BrE
H01	43	2232	71	H	miscellaneous	BrE
H02	34	2232	72	H	miscellaneous	BrE
H03	32	2196	70	H	miscellaneous	BrE
H04	19	2284	78	H	miscellaneous	BrE
H05	32	2196	58	H	miscellaneous	BrE
H06	30	2214	69	H	miscellaneous	BrE
H07	23	2161	59	H	miscellaneous	BrE
H08	35	2234	73	H	miscellaneous	BrE
H09	32	2192	87	H	miscellaneous	BrE
H10	15	2202	68	H	miscellaneous	BrE
H11	26	2225	95	H	miscellaneous	BrE
H12	37	2210	74	H	miscellaneous	BrE
H13	16	2189	28	H	miscellaneous	BrE
H14	14	2315	39	H	miscellaneous	BrE
H15	26	2200	88	H	miscellaneous	BrE
H16	16	2194	80	H	miscellaneous	BrE
H17	22	2271	62	H	miscellaneous	BrE
H18	23	2291	67	H	miscellaneous	BrE
H19	36	2254	66	H	miscellaneous	BrE
