id	cat	n_w	n_s
A01	A	2254	82
A02	A	2303	81
A03	A	2269	74
A04	A	2217	66
A05	A	2244	83
A06	A	2273	82
A07	A	2282	89
A08	A	2186	82
A09	A	2263	81
A10	A	2282	80
A11	A	2280	63
A12	A	2379	92
A13	A	2304	85
A14	A	2349	114
A15	A	2358	90
A16	A	2432	83
A17	A	2346	81
A18	A	2320	81
A19	A	2269	81
A20	A	2318	74
A21	A	2238	74
A22	A	2305	80
A23	A	2320	84
A24	A	2275	93
A25	A	2344	84
A26	A	2282	97
A27	A	2280	79
A28	A	2284	77
A29	A	2382	97
A30	A	2291	96
A31	A	2362	65
A32	A	2331	101
A33	A	2307	91
A34	A	2233	76
A35	A	2217	69
A36	A	2232	75
A37	A	2308	72
A38	A	2217	82
A39	A	2465	103
A40	A	2383	86
A41	A	2290	88
A42	A	2340	81
A43	A	2302	110
A44	A	2280	80
B01	B	2216	85
B02	B	2234	85
B03	B	2242	82
B04	B	2232	100
B05	B	2273	86
B06	B	2243	87
B07	B	2248	77
B08	B	2395	119
B09	B	2307	115
B10	B	2312	115
B11	B	2305	79
B12	B	2291	68
B13	B	2277	121
B14	B	2272	99
B15	B	2296	81
B16	B	2251	79
B17	B	2245	83
B18	B	2187	76
B19	B	2261	86
B20	B	2282	93
B21	B	2277	70
B22	B	2294	85
B23	B	2331	119
B24	B	2330	79
B25	B	2357	66
B26	B	2303	79
B27	B	2274	85
C01	C	2422	99
C02	C	2330	92
C03	C	2348	92
C04	C	2380	93
C05	C	2389	92
C06	C	2439	66
C07	C	2425	103
C08	C	2355	77
C09	C	2357	71
C10	C	2466	96
C11	C	2463	85
C12	C	2350	82
C13	C	2293	85
C14	C	2571	80
C15	C	2463	73
C16	C	2326	85
C17	C	2372	88
D01	D	2211	81
D02	D	2330	60
D03	D	2331	71
D04	D	2311	77
D05	D	2385	67
D06	D	2306	81
D07	D	2323	105
D08	D	2299	51
D09	D	2250	94
D10	D	2221	84
D11	D	2300	59
D12	D	2298	66
D13	D	2206	73
D14	D	2272	86
D15	D	2295	91
D16	D	2362	93
D17	D	2329	133
E01	E	2311	73
E02	E	2284	111
E03	E	2258	92
E04	E	2314	90
E05	E	2240	86
E06	E	2233	91
E07	E	2402	118
E08	E	2216	96
E09	E	2429	90
E10	E	2475	93
E11	E	2332	90
E12	E	2274	87
E13	E	2258	71
E14	E	2328	120
E15	E	2289	133
E16	E	2244	125
E17	E	2231	85
E18	E	2287	67
E19	E	2239	98
E20	E	2266	108
E21	E	2226	92
E22	E	2352	81
E23	E	2283	71
E24	E	2253	107
E25	E	2218	76
E26	E	2253	81
E27	E	2195	61
E28	E	2235	100
E29	E	2232	87
E30	E	2233	127
E31	E	2262	95
E32	E	2318	70
E33	E	2255	103
E34	E	2281	81
E35	E	2244	56
E36	E	2260	74
F01	F	2359	61
F02	F	2258	121
F03	F	2257	71
F04	F	2256	107
F05	F	2267	88
F06	F	2402	153
F07	F	2203	82
F08	F	2363	109
F09	F	2322	126
F10	F	2319	96
F11	F	2315	96
F12	F	2349	85
F13	F	2304	96
F14	F	2272	60
F15	F	2241	82
F16	F	2339	117
F17	F	2252	73
F18	F	2337	85
F19	F	2325	85
F20	F	2287	84
F21	F	2211	95
F22	F	2446	115
F23	F	2254	74
F24	F	2368	130
F25	F	2309	102
F26	F	2245	101
F27	F	2259	70
F28	F	2291	91
F29	F	2313	89
F30	F	2264	90
F31	F	2227	98
F32	F	2316	90
F33	F	2216	87
F34	F	2291	105
F35	F	2570	95
F36	F	2372	124
F37	F	2212	87
F38	F	2392	52
F39	F	2340	64
F40	F	2249	79
F41	F	2342	75
F42	F	2336	93
F43	F	2269	84
F44	F	2209	65
