id	passive
A01	33
A02	20
A03	23
A04	22
A05	29
A06	18
A07	25
A08	20
A09	29
A10	21
A11	14
A12	8
A13	10
A14	21
A15	15
A16	7
A17	20
A18	15
A19	32
A20	33
A21	33
A22	31
A23	23
A24	38
A25	17
A26	20
A27	16
A28	20
A29	20
A30	17
A31	20
A32	23
A33	16
A34	19
A35	21
A36	28
A37	16
A38	9
A39	8
A40	14
A41	13
A42	13
A43	22
A44	20
B01	28
B02	23
B03	24
B04	24
B05	21
B06	17
B07	24
B08	11
B09	20
B10	17
B11	11
B12	14
B13	23
B14	16
B15	18
B16	16
B17	27
B18	26
B19	19
B20	27
B21	26
B22	15
B23	25
B24	15
B25	17
B26	17
B27	22
C01	19
C02	16
C03	13
C04	16
C05	16
C06	15
C07	21
C08	16
C09	16
C10	14
C11	13
C12	14
C13	24
C14	22
C15	14
C16	18
C17	16
D01	20
D02	26
D03	26
D04	23
D05	24
D06	12
D07	11
D08	21
D09	29
D10	21
D11	19
D12	14
D13	8
D14	22
D15	23
D16	36
D17	16
E01	16
E02	19
E03	29
E04	20
E05	21
E06	36
E07	37
E08	52
E09	10
E10	15
E11	17
E12	15
E13	17
E14	6
E15	22
E16	55
E17	33
E18	33
E19	22
E20	23
E21	25
E22	16
E23	16
E24	24
E25	37
E26	29
E27	27
E28	21
E29	22
E30	21
E31	12
E32	21
E33	26
E34	35
E35	13
E36	10
F01	13
F02	25
F03	24
F04	34
F05	14
F06	11
F07	21
F08	22
F09	15
F10	12
F11	27
F12	31
F13	24
F14	22
F15	26
F16	14
F17	21
F18	13
F19	14
F20	20
F21	30
F22	15
F23	20
F24	19
F25	13
F26	53
F27	26
F28	21
F29	17
F30	17
F31	20
F32	16
F33	23
F34	43
F35	47
F36	13
F37	17
F38	13
F39	20
F40	24
F41	17
F42	16
F43	23
F44	22
F45	20
F46	18
F47	23
F48	25
G01	18
G02	21
G03	33
G04	18
G05	12
G06	12
G07	15
G08	17
G09	24
G10	14
G11	13
G12	18
G13	26
G14	18
G15	21
G16	29
G17	22
G18	18
G19	20
G20	34
G21	13
G22	15
G23	23
G24	14
G25	29
G26	25
G27	22
G28	14
G29	18
G30	24
G31	14
G32	22
G33	15
G34	16
G35	18
G36	23
G37	31
G38	26
G39	9
G40	14
G41	21
G42	31
G43	14
G44	21
G45	25
G46	15
G47	18
G48	21
G49	22
G50	13
G51	24
G52	15
G53	34
G54	23
G55	21
G56	14
G57	13
G58	30
G59	13
G60	10
G61	14
G62	19
G63	11
G64	17
G65	32
G66	14
G67	14
G68	22
G69	14
G70	21
G71	26
G72	17
G73	21
G74	14
G75	18
H01	24
H02	23
H03	9
H04	40
H05	34
H06	28
H07	26
H08	22
H09	12
H10	44
H11	48
H12	15
H13	19
H14	30
H15	54
H16	25
H17	42
H18	24
H19	30
H20	29
H21	43
H22	17
H23	31
H24	34
H25	19
H26	16
H27	33
H28	34
H29	14
H30	18
J01	34
J02	53
J03	40
J04	41
J05	43
J06	47
J07	37
J08	50
J09	57
J10	21
J11	25
J12	39
J13	31
J14	47
J15	39
J16	48
J17	33
J18	10
J19	22
J20	23
J21	18
J22	26
J23	14
J24	13
J25	26
J26	59
J27	26
J28	31
J29	39
J30	39
J31	8
J32	57
J33	20
J34	28
J35	20
J36	18
J37	35
J38	36
J39	24
J40	10
J41	23
J42	28
J43	20
J44	27
J45	55
J46	18
J47	20
J48	20
J49	16
J50	29
J51	25
J52	26
J53	20
J54	18
J55	23
J56	27
J57	16
J58	25
J59	20
J60	22
J61	38
J62	16
J63	21
J64	9
J65	8
J66	13
J67	31
J68	11
J69	52
J70	33
J71	38
J72	56
J73	44
J74	25
J75	34
J76	31
J77	49
J78	52
J79	42
J80	55
K01	10
K02	6
K03	9
K04	28
K05	12
K06	12
K07	6
K08	16
K09	9
K10	18
K11	8
K12	9
K13	13
K14	16
K15	9
K16	16
K17	9
K18	10
K19	10
K20	22
K21	15
K22	10
K23	8
K24	9
K25	13
K26	9
K27	18
K28	7
K29	15
L01	8
L02	8
L03	8
L04	17
L05	9
L06	6
L07	6
L08	4
L09	11
L10	6
L11	16
L12	23
L13	8
L14	16
L15	16
L16	18
L17	10
L18	12
L19	6
L20	3
L21	19
L22	14
L23	8
L24	13
M01	18
M02	24
M03	22
M04	10
M05	24
M06	6
N01	12
N02	7
N03	17
N04	10
N05	6
N06	12
N07	13
N08	16
N09	12
N10	8
N11	25
N12	9
N13	3
N14	10
N15	12
N16	4
N17	16
N18	10
N19	11
N20	9
N21	13
N22	5
N23	4
N24	8
N25	6
N26	17
N27	3
N28	7
N29	5
P01	9
P02	19
P03	7
P04	7
P05	20
P06	8
P07	28
P08	9
P09	3
P10	6
P11	7
P12	4
P13	2
P14	11
P15	8
P16	8
P17	9
P18	13
P19	10
P20	5
P21	12
P22	8
P23	8
P24	9
P25	15
P26	9
P27	2
P28	17
P29	17
R01	21
R02	17
R03	19
R04	11
R05	26
R06	13
R07	13
R08	17
R09	9
