id	cat	n_w	n_s
A01	A	2249	106
A02	A	2289	92
A03	A	2225	65
A04	A	2230	77
A05	A	2274	103
A06	A	2311	119
A07	A	2335	100
A08	A	2237	97
A09	A	2344	117
A10	A	2352	119
A11	A	2238	70
A12	A	2355	110
A13	A	2481	107
A14	A	2260	92
A15	A	2182	74
A16	A	2273	122
A17	A	2283	71
A18	A	2330	88
A19	A	2348	99
A20	A	2197	97
A21	A	2254	91
A22	A	2327	108
A23	A	2272	105
A24	A	2361	114
A25	A	2233	87
A26	A	2367	112
A27	A	2268	84
A28	A	2289	114
A29	A	2250	75
A30	A	2297	120
A31	A	2214	89
A32	A	2283	77
A33	A	2293	102
A34	A	2279	89
A35	A	2362	129
A36	A	2255	85
A37	A	2321	90
A38	A	2313	111
A39	A	2415	105
A40	A	2312	107
A41	A	2329	152
A42	A	2295	81
A43	A	2310	96
A44	A	2219	80
B01	B	2219	116
B02	B	2207	80
B03	B	2182	104
B04	B	2279	178
B05	B	2281	99
B06	B	2223	85
B07	B	2232	88
B08	B	2250	109
B09	B	2243	75
B10	B	2278	93
B11	B	2237	77
B12	B	2218	86
B13	B	2221	138
B14	B	2276	132
B15	B	2281	92
B16	B	2286	99
B17	B	2235	73
B18	B	2205	77
B19	B	2210	81
B20	B	2216	96
B21	B	2263	80
B22	B	2273	76
B23	B	2173	76
B24	B	2274	101
B25	B	2176	99
B26	B	2218	107
B27	B	2274	85
C01	C	2325	75
C02	C	2367	68
C03	C	2250	75
C04	C	2445	141
C05	C	2270	55
C06	C	2339	108
C07	C	2287	88
C08	C	2289	98
C09	C	2301	101
C10	C	2339	86
C11	C	2317	113
C12	C	2281	95
C13	C	2305	68
C14	C	2241	90
C15	C	2252	77
C16	C	2325	91
C17	C	2352	86
D01	D	2214	97
D02	D	2245	60
D03	D	2347	178
D04	D	2400	107
D05	D	2299	119
D06	D	2208	89
D07	D	2286	75
D08	D	2262	109
D09	D	2237	107
D10	D	2348	68
D11	D	2302	88
D12	D	2376	81
D13	D	2199	91
D14	D	2360	108
D15	D	2256	99
D16	D	2306	160
D17	D	2228	65
E01	E	2262	100
E02	E	2250	101
E03	E	2268	90
E04	E	2201	108
E05	E	2242	85
E06	E	2176	91
E07	E	2235	85
E08	E	2225	74
E09	E	2242	93
E10	E	2190	64
E11	E	2396	81
E12	E	2241	99
E13	E	2300	72
E14	E	2248	79
E15	E	2265	87
E16	E	2280	50
E17	E	2294	117
E18	E	2192	75
E19	E	2277	112
E20	E	2245	97
E21	E	2363	86
E22	E	2181	77
E23	E	2224	91
E24	E	2250	97
E25	E	2269	107
E26	E	2256	69
E27	E	2165	69
E28	E	2211	69
E29	E	2381	85
E30	E	2257	81
E31	E	2219	84
E32	E	2166	50
E33	E	2179	67
E34	E	2195	120
E35	E	2251	86
E36	E	2207	80
E37	E	2198	90
E38	E	2260	94
F01	F	2272	113
F02	F	2276	59
F03	F	2315	191
F04	F	2283	76
F05	F	2275	79
F06	F	2233	68
F07	F	2216	72
F08	F	2272	67
F09	F	2286	76
F10	F	2301	86
F11	F	2229	81
F12	F	2286	127
F13	F	2298	135
F14	F	2434	134
F15	F	2215	55
F16	F	2268	97
F17	F	2310	112
F18	F	2344	113
F19	F	2329	89
F20	F	2240	81
F21	F	2209	69
F22	F	2295	72
F23	F	2311	86
F24	F	2292	80
F25	F	2238	76
F26	F	2344	99
F27	F	2267	65
F28	F	2223	83
F29	F	2338	81
F30	F	2324	89
F31	F	2319	129
F32	F	2314	104
F33	F	2314	172
F34	F	2213	78
F35	F	2371	105
F36	F	2244	72
F37	F	2268	75
F38	F	2249	100
F39	F	2262	95
F40	F	2201	84
F41	F	2293	89
F42	F	2337	83
F43	F	2125	59
F44	F	2316	110
G01	G	2268	64
G02	G	2271	47
G03	G	2268	80
G04	G	2219	81
G05	G	2233	73
G06	G	2313	77
G07	G	2249	56
G08	G	2334	42
G09	G	2279	97
G10	G	2276	119
G11	G	2272	103
G12	G	2334	100
G13	G	2290	91
G14	G	2257	68
G15	G	2252	49
G16	G	2262	85
G17	G	2215	79
G18	G	2323	72
G19	G	2292	111
G20	G	2338	70
G21	G	2265	82
G22	G	2337	90
G23	G	2294	109
G24	G	2242	75
G25	G	2227	79
G26	G	2243	70
G27	G	2298	75
G28	G	2388	113
G29	G	2273	92
G30	G	2313	127
G31	G	2242	111
G32	G	2205	70
G33	G	2304	106
G34	G	2294	69
G35	G	2281	93
G36	G	2273	53
G37	G	2253	70
G38	G	2288	90
G39	G	2269	70
G40	G	2204	77
G41	G	2315	74
G42	G	2234	75
G43	G	2269	51
G44	G	2369	57
G45	G	2315	88
G46	G	2288	66
G47	G	2227	83
G48	G	2288	71
G49	G	2247	87
G50	G	2305	70
G51	G	2358	69
G52	G	2185	83
G53	G	2187	65
G54	G	2266	97
G55	G	2373	85
G56	G	2261	84
G57	G	2250	53
G58	G	2229	62
G59	G	2240	61
G60	G	2194	71
G61	G	2250	76
G62	G	2288	80
G63	G	2212	61
G64	G	2196	69
G65	G	2255	72
G66	G	2255	62
G67	G	2246	76
G68	G	2274	72
G69	G	2259	71
G70	G	2375	95
G71	G	2245	91
G72	G	2198	85
G73	G	2214	94
G74	G	2192	83
G75	G	2219	78
G76	G	2237	63
G77	G	2253	64
H01	H	2232	71
H02	H	2232	72
H03	H	2196	70
H04	H	2284	78
H05	H	2196	58
H06	H	2214	69
H07	H	2161	59
H08	H	2234	73
H09	H	2192	87
H10	H	2202	68
H11	H	2225	95
H12	H	2210	74
H13	H	2189	28
H14	H	2315	39
H15	H	2200	88
H16	H	2194	80
H17	H	2271	62
H18	H	2291	67
H19	H	2254	66
H20	H	2206	79
H21	H	2202	97
H22	H	2187	53
H23	H	2235	87
H24	H	2209	50
H25	H	2169	55
H26	H	2233	70
H27	H	2220	90
H28	H	2207	74
H29	H	2215	92
H30	H	2256	94
J01	J	2132	76
J02	J	2251	80
J03	J	2274	84
J04	J	2214	97
J05	J	2213	49
J06	J	2209	90
J07	J	2254	81
J08	J	2189	81
J09	J	2267	62
J10	J	2199	91
J11	J	2299	73
J12	J	2191	71
J13	J	2220	89
J14	J	2231	85
J15	J	2295	59
J16	J	2173	68
J17	J	2279	116
J18	J	2223	49
J19	J	2274	82
J20	J	2128	57
J21	J	2309	40
J22	J	2263	88
J23	J	2236	71
J24	J	2290	83
J25	J	2214	52
J26	J	2268	105
J27	J	2236	75
J28	J	2228	81
J29	J	2316	60
J30	J	2172	66
J31	J	2217	57
J32	J	2192	56
J33	J	2248	73
J34	J	2427	58
J35	J	2331	59
J36	J	2222	71
J37	J	2350	76
J38	J	2192	71
J39	J	2234	60
J40	J	2206	89
J41	J	2222	81
J42	J	2241	70
J43	J	2195	54
J44	J	2267	78
J45	J	2265	71
J46	J	2206	62
J47	J	2242	75
J48	J	2254	47
J49	J	2192	57
J50	J	2263	67
J51	J	2232	52
J52	J	2253	77
J53	J	2319	55
J54	J	2276	67
