id	passive
A01	13
A02	37
A03	19
A04	20
A05	27
A06	25
A07	10
A08	20
A09	22
A10	16
A11	41
A12	29
A13	32
A14	29
A15	31
A16	22
A17	15
A18	14
A19	11
A20	40
A21	25
A22	13
A23	20
A24	29
A25	23
A26	16
A27	29
A28	21
A29	25
A30	21
A31	21
A32	30
A33	26
A34	33
A35	19
A36	26
A37	19
A38	28
A39	11
A40	19
A41	10
A42	25
A43	33
A44	28
B01	24
B02	25
B03	18
B04	26
B05	22
B06	22
B07	33
B08	16
B09	22
B10	24
B11	18
B12	24
B13	19
B14	23
B15	23
B16	20
B17	32
B18	22
B19	25
B20	14
B21	26
B22	22
B23	22
B24	19
B25	28
B26	25
B27	23
C01	19
C02	18
C03	19
C04	17
C05	16
C06	16
C07	13
C08	26
C09	19
C10	18
C11	15
C12	26
C13	18
C14	24
C15	25
C16	16
C17	21
D01	38
D02	25
D03	33
D04	27
D05	24
D06	16
D07	42
D08	29
D09	21
D10	30
D11	37
D12	27
D13	26
D14	23
D15	26
D16	18
D17	26
E01	26
E02	51
E03	26
E04	38
E05	19
E06	25
E07	25
E08	30
E09	23
E10	24
E11	17
E12	25
E13	22
E14	20
E15	9
E16	21
E17	16
E18	29
E19	13
E20	14
E21	14
E22	27
E23	45
E24	33
E25	46
E26	25
E27	53
E28	32
E29	35
E30	14
E31	29
E32	24
E33	48
E34	23
E35	32
E36	45
E37	43
E38	29
F01	21
F02	30
F03	5
F04	30
F05	26
F06	31
F07	14
F08	27
F09	24
F10	21
F11	14
F12	18
F13	12
F14	12
F15	16
F16	31
F17	20
F18	20
F19	17
F20	29
F21	19
F22	27
F23	10
F24	24
F25	19
F26	14
F27	21
F28	30
F29	27
F30	17
F31	23
F32	33
F33	9
F34	20
F35	22
F36	34
F37	25
F38	45
F39	57
F40	21
F41	33
F42	24
F43	24
F44	9
G01	23
G02	16
G03	30
G04	20
G05	19
G06	27
G07	19
G08	16
G09	19
G10	20
G11	25
G12	13
G13	23
G14	11
G15	18
G16	16
G17	22
G18	19
G19	18
G20	16
G21	7
G22	8
G23	22
G24	12
G25	12
G26	10
G27	21
G28	14
G29	15
G30	26
G31	19
G32	16
G33	17
G34	8
G35	18
G36	17
G37	18
G38	19
G39	15
G40	28
G41	22
G42	22
G43	19
G44	22
G45	13
G46	23
G47	16
G48	17
G49	18
G50	26
G51	37
G52	20
G53	40
G54	35
G55	32
G56	18
G57	25
G58	25
G59	20
G60	24
G61	13
G62	27
G63	20
G64	26
G65	29
G66	14
G67	14
G68	29
G69	24
G70	14
G71	28
G72	30
G73	26
G74	20
G75	23
G76	21
G77	27
H01	43
H02	34
H03	32
H04	19
H05	32
H06	30
H07	23
H08	35
H09	32
H10	15
H11	26
H12	37
H13	16
H14	14
H15	26
H16	16
H17	22
H18	23
H19	36
H20	36
H21	20
H22	25
H23	25
H24	23
H25	31
H26	36
H27	26
H28	23
H29	52
H30	26
J01	35
J02	28
J03	33
J04	57
J05	34
J06	36
J07	44
J08	53
J09	31
J10	49
J11	25
J12	44
J13	55
J14	43
J15	38
J16	33
J17	53
J18	26
J19	29
J20	21
J21	23
J22	20
J23	29
J24	40
J25	32
J26	24
J27	25
J28	29
J29	27
J30	19
J31	29
J32	24
J33	31
J34	31
J35	30
J36	30
J37	22
J38	51
J39	16
J40	34
J41	30
J42	25
J43	22
J44	28
J45	30
J46	20
J47	26
J48	25
J49	22
J50	25
J51	21
J52	26
J53	21
J54	21
J55	22
J56	17
J57	25
J58	24
J59	24
J60	21
J61	23
J62	25
J63	24
J64	29
J65	25
J66	22
J67	41
J68	13
J69	24
J70	51
J71	49
J72	40
J73	59
J74	34
J75	39
J76	26
J77	35
J78	47
J79	35
J80	19
K01	9
K02	19
K03	13
K04	16
K05	15
K06	8
K07	6
K08	8
K09	10
K10	12
K11	6
K12	16
K13	27
K14	19
K15	5
K16	13
K17	13
K18	9
K19	9
K20	21
K21	16
K22	17
K23	10
K24	20
K25	9
K26	13
K27	12
K28	12
K29	8
L01	13
L02	24
L03	10
L04	8
L05	13
L06	10
L07	12
L08	15
L09	10
L10	6
L11	4
L12	11
L13	25
L14	14
L15	16
L16	16
L17	12
L18	24
L19	11
L20	13
L21	16
L22	8
L23	13
L24	35
M01	6
M02	18
M03	10
M04	11
M05	11
M06	15
N01	13
N02	8
N03	15
N04	11
N05	17
N06	8
N07	8
N08	12
N09	16
N10	17
N11	14
N12	6
N13	7
N14	7
N15	11
N16	5
N17	10
N18	18
N19	12
N20	5
N21	7
N22	7
N23	18
N24	6
N25	7
N26	9
N27	9
N28	8
N29	13
P01	13
P02	9
P03	9
P04	12
P05	14
P06	13
P07	14
P08	14
P09	10
P10	14
P11	13
P12	15
P13	7
P14	8
P15	5
P16	11
P17	13
P18	15
P19	19
P20	9
P21	12
P22	7
P23	12
P24	11
P25	10
P26	9
P27	15
P28	6
P29	14
R01	19
R02	10
R03	13
R04	16
R05	16
R06	17
R07	13
R08	13
R09	17
