"cat","tokens","time_adv","proportion"
"R 1",37503,110,2.9330986854385
"R 2",37294,131,3.51262937737974
"R 3",35834,114,3.1813361611877
"R 4",36633,116,3.16654382660443
"R 5",37041,134,3.61761291541805
"R 6",35143,123,3.49998577241556
"R 7",36742,135,3.67426922867563
"R 8",37858,127,3.35464102699562
"R 9",37210,128,3.43993550120935
"R 10",37511,122,3.25237930207139
"R 11",39539,140,3.54080781001037
"R 12",37176,134,3.60447600602539
"R 13",36079,120,3.32603453532526
"R 14",37952,137,3.60982293423272
"R 15",37202,138,3.70947798505457
"R 16",38535,127,3.29570520306215
"R 17",38540,116,3.0098598858329
"R 18",35831,113,3.15369372889397
"R 19",37718,139,3.68524311999576
"R 20",37085,130,3.50546042874478
"R 21",36957,152,4.11288795086181
"R 22",35733,129,3.6101083032491
"R 23",37007,131,3.53987083524739
"R 24",38558,122,3.16406452616837
"R 25",36966,135,3.65200454471677
"R 26",38757,130,3.35423278375519
"R 27",36670,129,3.51786201254431
"R 28",38494,130,3.3771496856653
"R 29",38752,148,3.81915772089183
"R 30",37870,151,3.98732505941378
"R 31",36402,123,3.37893522333938
"R 32",37405,138,3.68934634407165
"R 33",37820,125,3.30512956107879
"R 34",38012,168,4.4196569504367
"R 35",36852,120,3.25626831650928
"R 36",37936,139,3.6640657950232
"R 37",38358,130,3.38912352051723
"R 38",35395,123,3.47506709987286
"R 39",38191,139,3.63960095310413
"R 40",37977,111,2.92282170787582
"R 41",37386,135,3.61097737120847
"R 42",38131,147,3.85513099577771
"R 43",38308,116,3.0280881278062
"R 44",36749,113,3.07491360309124
"R 45",38995,125,3.20553917168868
"R 46",38113,127,3.33219636344554
"R 47",35876,116,3.23335934886832
"R 48",37910,141,3.71933526773938
"R 49",36196,126,3.48104762957233
"R 50",37237,129,3.46429626446814
"R 51",37427,122,3.25967884147808
"R 52",36658,130,3.54629276010693
"R 53",35926,103,2.86700439792908
"R 54",36919,136,3.68374007963379
"R 55",38022,121,3.1823681026774
"R 56",37390,119,3.18266916287778
"R 57",37382,131,3.5043603873522
"R 58",37272,119,3.19274522429706
"R 59",36657,123,3.355430067927
"R 60",37352,119,3.18590704647676
"R 61",36667,117,3.19088008290834
"R 62",36771,134,3.64417611704876
"R 63",35674,123,3.44788921903908
"R 64",35750,120,3.35664335664336
"R 65",37266,116,3.11275693661783
"R 66",38146,126,3.3030986210874
"R 67",37068,135,3.64195532534801
"R 68",37370,142,3.7998394434038
"R 69",36204,126,3.48027842227378
"R 70",36222,106,2.92639832146209
"R 71",37977,112,2.9491534349738
"R 72",36974,122,3.29961594634067
"R 73",37837,121,3.19792795411898
"R 74",37487,131,3.49454477552218
"R 75",38692,141,3.64416416830353
"R 76",35984,123,3.41818586038239
"R 77",38567,117,3.0336816449296
"R 78",38243,106,2.77174907826269
"R 79",36657,139,3.79190877595002
"R 80",36206,98,2.70673369054853
"R 81",37039,132,3.56381111801075
"R 82",37554,124,3.30191191351121
"R 83",36802,111,3.0161404271507
"R 84",37626,123,3.26901610588423
"R 85",36539,107,2.92837789758888
"R 86",36103,131,3.62850732626098
"R 87",35653,137,3.84259389111716
"R 88",37268,115,3.08575721798862
"R 89",37789,118,3.12260181534309
"R 90",37079,126,3.39814989616764
"R 91",36750,111,3.02040816326531
"R 92",37199,140,3.76354203069975
"R 93",36127,114,3.15553464168074
"R 94",36814,118,3.20530233063508
"R 95",36654,103,2.81006165766356
"R 96",38475,125,3.2488628979857
"R 97",36891,128,3.46968095199371
"R 98",36704,128,3.487358326068
"R 99",37706,128,3.39468519599003
"R 100",36116,140,3.87639827223391
"R 101",36739,122,3.32072184871662
"R 102",36100,130,3.601108033241
"R 103",36186,111,3.06748466257669
"R 104",36121,136,3.7651227817613
"R 105",37302,107,2.86847890193555
"R 106",35433,98,2.7657833093444
"R 107",36022,108,2.99816778635278
"R 108",36588,141,3.8537225319777
"R 109",37517,115,3.06527707439294
"R 110",37301,133,3.56558805393957
"R 111",35962,140,3.89299816472944
"R 112",36433,108,2.96434551093789
"R 113",36576,126,3.44488188976378
"R 114",38003,126,3.31552772149567
