id	title	n_words	n_tokens	n_w	n_c	n_s	audience_age	audience_sex	author_age	author_domicile	author_sex	author_type	availability	circulation	context	derived_type	difficulty	domain	genre	interaction_type	medium	mode	publication_date	publication_place	region	respondent_age	respondent_class	respondent_sex	sampling_type	text_type
A00	[ACET factsheets &amp; newsletters]. Sample containing about 6688 words of miscellanea (domain: social science)	6673	7518	6708	810	423	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	medium	social_science	W:non_ac:medicine	---	misc_published	written	1985-1993	UK_south	---	---	---	---	composite	written_misc
A01	[ACET AIDS leaflets]. Sample containing about 7851 words of miscellanea (domain: social science)	7816	8801	7898	903	588	adult	mixed	unknown	unknown	unknown	corporate	cleared	low	---	prose	low	social_science	W:non_ac:medicine	---	misc_published	written	1985-1993	UK_south	---	---	---	---	composite	written_misc
A02	ACET Annual Review 1990/91. Sample containing about 3378 words of miscellanea (domain: social science)	3347	3703	3376	327	223	adult	mixed	unknown	unknown	unknown	corporate	cleared	low	---	misc_published	medium	social_science	W:institut_doc	---	misc_published	written	1985-1993	UK_south	---	---	---	---	whole	written_misc
A03	Amnesty. Sample containing about 19310 words from a periodical (domain: world affairs)	19255	21701	19433	2268	1051	adult	mixed	unknown	unknown	mixed	multiple	cleared	high	---	misc_published	medium	world_affairs	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
A04	Art criticism: a user's guide. Sample containing about 38875 words from a book (domain: arts)	38802	43861	39163	4698	1621	adult	mixed	unknown	UK	male	sole	cleared	medium	---	academic	high	arts	W:ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
A05	Authors. Sample containing about 41110 words from a book (domain: arts)	41008	47403	41363	6040	1706	adult	mixed	45-59	UK	male	sole	cleared	low	---	academic	high	arts	W:ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
A06	So you want to be an actor?. Sample containing about 35807 words from a book (domain: arts)	35894	40556	36208	4348	2404	adult	mixed	unknown	UK	male	sole	cleared	medium	---	prose	low	arts	W:non_ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
A07	The tragedy of belief. Sample containing about 39139 words from a book (domain: belief and thought)	38722	43507	39198	4309	1513	adult	mixed	45-59	UK	male	sole	cleared	low	---	academic	high	belief_thought	W:ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
A08	The big glass. Sample containing about 40097 words from a book (domain: imaginative)	39775	47332	40186	7146	3201	adult	mixed	45-59	UK	male	sole	cleared	medium	---	fiction	high	imaginative	W:fict:prose	---	book	written	1985-1993	UK_north	---	---	---	---	beginning	written_books_periodicals
A0A	[CAMRA fact sheets]. Sample containing about 5782 words of miscellanea (domain: leisure)	5722	6362	5776	586	295	adult	mixed	unknown	unknown	unknown	corporate	cleared	medium	---	misc_published	medium	leisure	W:misc	---	misc_published	written	unknown	UK_south	---	---	---	---	composite	written_misc
A0B	Trouble brewing. Sample containing about 11686 words of miscellanea (domain: leisure)	11638	13332	11749	1583	449	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:misc	---	misc_published	written	1985-1993	UK_south	---	---	---	---	whole	written_misc
A0C	Caterer &amp; Hotelkeeper. Sample containing about 30073 words from a periodical (domain: social science)	30040	34052	30258	3794	1671	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	social_science	W:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A0D	A classic English crime. Sample containing about 36147 words from a book (domain: imaginative)	36716	45395	37033	8362	2998	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	fiction	medium	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	end	written_books_periodicals
A0E	The seventh Birmingham International Film &amp; TV Festival. Sample containing about 14737 words from a periodical (domain: arts)	14843	16918	14916	2002	865	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	arts	W:misc	---	periodical	written	1985-1993	UK_midlands	---	---	---	---	whole	written_books_periodicals
A0F	Part of the furniture. Sample containing about 39211 words from a book (domain: imaginative)	40062	48780	40478	8302	3417	adult	mixed	15-24	UK	male	sole	cleared	medium	---	fiction	medium	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
A0G	Gardeners' World. Sample containing about 35764 words from a periodical (domain: natural sciences)	36102	41033	36402	4631	2754	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	misc_published	low	natural_science	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A0H	Gliding safety. Sample containing about 39656 words from a book (domain: leisure)	39287	43180	39742	3438	1832	adult	mixed	45-59	UK	male	sole	cleared	low	---	misc_published	medium	leisure	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
A0J	[Health promotion and education leaflets]. Sample containing about 24448 words of miscellanea (domain: natural sciences)	24222	27294	24438	2856	2063	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	medium	---	misc_published	low	natural_science	W:misc	---	misc_published	written	1985-1993	unknown	---	---	---	---	unknown	written_misc
A0K	An inside job. Sample containing about 38619 words from a book (domain: social science)	38571	44107	38910	5197	1216	adult	mixed	45-59	unknown	male	sole	cleared	low	---	academic	high	social_science	W:ac:soc_science	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
