to	ty	se	towl	tywl
2254	854	82	4.52839396628216	6.20257611241218
2303	922	81	4.46547980894485	6.17895878524946
2269	845	74	4.48303217276333	6.10414201183432
2217	898	66	4.83536310329274	6.62694877505568
2244	755	83	4.41622103386809	6.18278145695364
2273	835	82	4.43774747030356	6.20838323353293
2282	913	89	4.68799298860649	6.49945235487404
2186	840	82	4.59835315645014	6.21071428571429
2263	917	81	4.51922227132126	6.17666303162486
2282	879	80	4.37248028045574	6.06825938566553
2280	934	63	4.2469298245614	5.81370449678801
2379	821	92	3.97982345523329	5.52496954933008
2304	889	85	4.03602430555556	5.61642294713161
2349	954	114	4.22435078756918	6.0167714884696
2358	913	90	4.03604749787956	5.51369112814896
2432	1052	83	4.07894736842105	5.65209125475285
2346	951	81	4.05583972719523	5.65509989484753
2320	882	81	4.19051724137931	5.8843537414966
2269	932	81	4.48259144997796	6.22210300429185
2318	938	74	4.35030198446937	5.87100213219616
2238	970	74	4.57193923145666	6.04639175257732
2305	897	80	4.52017353579176	6.1850613154961
2320	987	84	4.43362068965517	5.99088145896657
2275	913	93	4.38813186813187	6.04052573932092
2344	976	84	4.37286689419795	6.07274590163934
2282	863	97	4.35451358457493	5.95249130938586
2280	968	79	4.49956140350877	6.10227272727273
2284	851	77	4.3984238178634	6.10810810810811
2382	1084	97	4.35768261964736	6.12915129151292
2291	939	96	4.09602793539939	5.85090521831736
2362	1018	65	4.25571549534293	5.87721021611002
2331	994	101	4.18275418275418	5.9728370221328
2307	901	91	4.3753792804508	6.16315205327414
2233	775	76	4.60277653381102	6.42322580645161
2217	747	69	4.7595850248083	6.82730923694779
2232	885	75	4.71729390681004	6.65084745762712
2308	964	72	4.60138648180243	6.42738589211618
2217	751	82	4.11321605773568	5.762982689747
2465	877	103	3.88600405679513	5.70695553021665
2383	1030	86	4.23751573646664	5.9495145631068
2290	871	88	4.53580786026201	6.41561423650976
2340	932	81	4.24700854700855	5.98283261802575
2302	828	110	4.44656820156386	6.15217391304348
2280	821	80	4.53289473684211	6.44945188794153
2216	981	85	4.72743682310469	6.55759429153925
2234	934	85	4.61145926589078	6.46466809421842
2242	916	82	4.28947368421053	6.21397379912664
2232	985	100	4.50403225806452	6.29847715736041
2273	941	86	4.50989881214254	6.37300743889479
2243	930	87	4.70040124832813	6.51397849462366
2248	920	77	4.59475088967972	6.55
2395	786	119	3.70396659707724	5.48473282442748
2307	854	115	4.17208495882098	6.02107728337237
2312	793	115	4.00389273356401	5.80201765447667
2305	995	79	4.6590021691974	6.38894472361809
2291	929	68	4.29725010912265	6.04736275565124
2277	975	121	4.32630654369785	6.18666666666667
2272	899	99	4.22579225352113	5.97775305895439
2296	869	81	4.48998257839721	6.25086306098964
2251	903	79	4.46823633940471	6.13953488372093
2245	891	83	4.2837416481069	6.16610549943883
2187	876	76	4.50983081847279	6.32077625570776
2261	927	86	4.30605926581159	6.03236245954693
2282	951	93	4.34136722173532	6.26077812828601
2277	906	70	4.41589811155029	6.33002207505519
2294	874	85	4.64167393199651	6.69221967963387
2331	901	119	4.25911625911626	6.27192008879023
2330	1028	79	4.29527896995708	6.11089494163424
2357	879	66	4.34577853203224	6.29124004550626
2303	932	79	4.30221450282241	6.21888412017167
2274	869	85	4.32805628847845	6.30379746835443
2422	1049	99	4.28199834847234	6.1067683508103
2330	989	92	4.46824034334764	6.32962588473205
2348	966	92	4.41950596252129	6.48757763975155
2380	949	93	4.13403361344538	6.04531085353003
2389	1009	92	4.2737547090833	6.34489593657086
2439	986	66	4.33456334563346	6.38640973630832
2425	1004	103	4.45278350515464	6.4203187250996
2355	932	77	4.17197452229299	5.92811158798283
2357	966	71	4.28383538396266	6.2536231884058
2466	980	96	4.09732360097324	6.0734693877551
2463	1044	85	4.42346731628096	6.43486590038314
2350	954	82	4.51063829787234	6.44129979035639
2293	935	85	4.4212821631051	6.23957219251337
2571	1064	80	4.41734733566706	6.57424812030075
2463	1213	73	4.44620381648396	6.05770816158285
2326	928	85	4.33576956147893	6.27478448275862
2372	988	88	4.45236087689713	6.40080971659919
2211	743	81	4.25734961555857	6.27052489905787
2330	732	60	4.37467811158798	6.82103825136612
2331	837	71	4.57228657228657	6.43010752688172
2311	629	77	4.0592816962354	6.10015898251192
2385	944	67	4.44486373165618	6.55720338983051
2306	785	81	3.87467476149176	5.83312101910828
2323	736	105	3.78562204046492	5.52445652173913
2299	775	51	4.30882992605481	6.32387096774194
2250	792	94	4.76488888888889	6.50631313131313
2221	878	84	4.79558757316524	6.78246013667426
2300	694	59	4.28347826086957	6.55475504322767
2298	850	66	4.79852045256745	6.92588235294118
2206	684	73	3.95240253853128	5.72222222222222
2272	843	86	4.71963028169014	6.66429418742586
2295	845	91	4.50762527233115	6.58343195266272
2362	672	93	3.62150719729043	5.35416666666667
2329	890	133	4.09016745384285	5.89662921348315
2311	804	73	4.34876676763306	6.1865671641791
2284	836	111	4.00831873905429	5.67942583732057
2258	716	92	4.58015943312666	6.36871508379888
2314	927	90	4.60717372515125	6.71844660194175
2240	789	86	4.26160714285714	5.82636248415716
2233	864	91	4.42901925660546	6.26851851851852
2402	660	118	3.85928393005828	5.54090909090909
2216	584	96	4.45712996389892	6.17979452054795
2429	834	90	4.03005351996706	6.03836930455635
2475	866	93	4.09414141414141	5.87644341801386
2332	937	90	4.06174957118353	5.83030949839915
2274	918	87	4.56596306068602	6.38126361655773
2258	756	71	4.12090345438441	5.89285714285714
2328	907	120	4.17482817869416	5.696802646086
2289	709	133	4.15771079073831	5.72073342736248
2244	698	125	4.05080213903743	5.61747851002865
2231	800	85	4.18153294486777	5.915
2287	851	67	4.29645824223874	6.19388954171563
2239	906	98	4.17597141581063	6.00551876379691
2266	804	108	4.23433362753751	6.04601990049751
2226	690	92	4.31491464510332	6.23623188405797
2352	929	81	4.64498299319728	6.82992465016146
2283	863	71	4.27332457293035	6.1460023174971
2253	775	107	4.24900133155792	5.88903225806452
2218	820	76	4.80072137060415	6.72195121951219
2253	843	81	4.56147359076787	6.48398576512456
2195	658	61	4.71389521640091	6.5531914893617
2235	825	100	4.91543624161074	6.72969696969697
2232	774	87	4.75134408602151	6.7390180878553
2233	865	127	4.7666815942678	6.5606936416185
2262	901	95	4.68700265251989	6.22863485016648
2318	836	70	4.87748058671268	6.92942583732057
2255	863	103	4.26164079822616	5.97566628041715
2281	857	81	4.70846120122753	6.59626604434072
2244	834	56	4.24019607843137	5.66546762589928
2260	720	74	4.17743362831858	6.06111111111111
2359	861	61	4.44298431538788	6.57491289198606
2258	865	121	4.17803365810452	5.86705202312139
2257	818	71	4.53256535223748	6.67726161369193
2256	894	107	4.3133865248227	6.03803131991051
2267	939	88	4.2801058667843	5.87965921192758
2402	819	153	3.81057452123231	5.64590964590965
2203	830	82	4.58601906491148	6.55301204819277
2363	842	109	4.29919593736775	6.30997624703088
2322	817	126	3.99181739879414	5.76499388004896
2319	858	96	4.26606295817163	6.09090909090909
2315	831	96	4.30755939524838	6.15042117930205
2349	778	85	4.1358024691358	6.1439588688946
2304	738	96	4.14626736111111	5.99457994579946
2272	874	60	4.52024647887324	6.57894736842105
2241	825	82	4.81213743864346	6.80363636363636
2339	858	117	4.10175288584865	5.92540792540793
2252	798	73	4.29973357015986	5.98245614035088
2337	903	85	4.00042789901583	5.7530454042082
2325	870	85	4.58752688172043	6.51379310344828
2287	963	84	4.40314822912112	6.48078920041537
2211	844	95	4.35866123925825	6.07582938388626
2446	803	115	4.0977105478332	5.78829389788294
2254	821	74	4.51242236024845	6.56272838002436
2368	966	130	4.03547297297297	5.86645962732919
2309	825	102	4.5036812472932	6.67878787878788
2245	773	101	3.98396436525612	5.52910737386805
2259	768	70	4.13767153607791	6.26041666666667
2291	815	91	4.35268441728503	6.24662576687117
2313	995	89	4.50756593169045	6.45829145728643
2264	920	90	4.41166077738516	6.27173913043478
2227	686	98	4.18096093399192	5.9067055393586
2316	830	90	4.12478411053541	6.05903614457831
2216	692	87	4.46164259927798	6.33526011560694
2291	814	105	4.37887385421213	6.22358722358722
2570	746	95	3.6591439688716	5.73324396782842
2372	750	124	3.73946037099494	5.31866666666667
2212	762	87	4.4624773960217	6.48425196850394
2392	899	52	4.15969899665552	5.87208008898776
2340	748	64	5.01837606837607	7.11229946524064
2249	859	79	4.73677189862161	6.76251455180442
2342	783	75	4.12169086251067	6.1507024265645
2336	815	93	4.15325342465753	6.23312883435583
2269	795	84	4.24548259144998	6.28679245283019
2209	679	65	5.08918062471707	6.99558173784978
2265	689	99	4.43002207505519	6.43396226415094
2291	966	106	4.61894369271061	6.42236024844721
2259	778	98	4.07127047366091	5.91131105398458
2220	721	52	4.56981981981982	6.52149791955617
2277	820	88	4.51427316644708	6.48414634146341
2292	830	82	4.81675392670157	6.91084337349398
2386	907	113	4.3466051969824	6.30209481808159
2355	822	139	3.92653927813163	5.68613138686131
2371	841	80	4.04344158582876	5.89774078478002
2398	917	105	4.30358632193495	6.18102508178844
2323	888	76	4.62247094274645	6.79391891891892
2318	904	73	4.54270923209663	6.55088495575221
2274	807	101	4.43755496921724	6.61957868649318
2278	720	62	4.49122036874451	6.325
2223	810	87	4.57399910031489	6.54691358024691
2320	749	139	3.89698275862069	5.8958611481976
2299	845	96	4.36015658982166	6.64733727810651
2294	895	72	4.10985178727114	5.94189944134078
2494	847	70	4.17441860465116	6.63754427390791
2230	771	68	4.72421524663677	6.89234760051881
2458	864	103	4.12611879576892	6.29398148148148
2306	881	102	4.12619254119688	6.15437003405221
2259	790	97	4.4174413457282	6.3
2287	799	72	4.4752951464801	6.5206508135169
2249	813	89	4.44241885282348	6.51045510455105
2288	886	83	4.69624125874126	6.70654627539503
2294	912	119	4.37837837837838	6.41885964912281
2216	771	69	4.56723826714801	6.73540856031128
2252	678	102	4.61811722912966	6.92625368731563
2200	734	74	4.30272727272727	6.15940054495913
2354	902	82	4.16567544604928	6.25720620842572
2213	782	60	4.56484410302756	6.69437340153453
2235	818	70	4.4089485458613	6.64914425427873
2337	828	114	4.76508344030809	6.91908212560386
2292	816	52	4.29275741710297	6.38357843137255
2315	842	92	4.09676025917927	5.97862232779097
2326	822	68	3.9780739466896	6.01338199513382
2350	881	109	4.17957446808511	6.17253121452894
2275	844	84	4.69450549450549	6.7239336492891
2411	758	132	4.08751555371215	6.09498680738786
2275	874	101	4.19384615384615	5.99885583524027
2330	802	67	4.21587982832618	6.2643391521197
2448	899	93	4.0625	5.92992213570634
2337	870	113	4.00770218228498	6.01724137931035
2272	704	106	3.88864436619718	5.47017045454545
2200	848	84	4.92363636363636	7.14740566037736
2293	773	74	4.33798517226341	6.60543337645537
2249	769	68	4.60026678523788	6.84265279583875
2376	872	89	4.12752525252525	6.01032110091743
2233	825	85	4.66502463054187	6.74545454545455
2432	790	131	3.83182565789474	5.86075949367089
2227	864	102	4.44229905702739	6.18981481481481
2419	838	64	4.06366267052501	6.00238663484487
2314	987	89	4.30466724286949	6.193515704154
2279	922	106	4.16673979815709	6.07158351409978
2272	809	77	4.30325704225352	6.17676143386897
2302	855	91	4.28410078192876	6.20350877192982
2355	721	108	3.847983014862	5.78640776699029
2270	789	106	4.10925110132159	6.18884664131812
2291	766	75	4.19773024879965	6.00261096605744
2335	858	79	4.82055674518201	7.13636363636364
2300	813	75	4.32478260869565	6.17835178351783
2318	848	46	4.30112165660052	6.37146226415094
2260	665	112	3.79690265486726	5.48571428571429
2273	808	80	4.6779586449626	6.58910891089109
2275	934	72	4.54725274725275	6.42184154175589
2221	854	103	4.5114813147231	6.52107728337237
2357	855	61	4.01187950784896	5.55672514619883
2236	859	84	4.73568872987478	7.0128055878929
2277	826	66	4.00087834870444	5.99878934624697
2390	810	80	4.02970711297071	5.8962962962963
2362	850	72	4.30186282811177	6.23764705882353
2429	943	46	4.5327295183203	6.52386002120891
2251	773	79	4.1017325633052	6.30012936610608
2275	829	60	4.31472527472527	6.44270205066345
2237	776	77	4.62673223066607	6.69458762886598
2331	808	86	4.32475332475332	6.36014851485149
2368	846	82	4.37964527027027	6.53427895981087
2299	787	124	3.87472814267073	5.71029224904701
2362	784	56	5.09271803556308	6.99362244897959
2325	771	68	4.91569892473118	6.85992217898833
2191	724	64	4.31948881789137	6.3439226519337
2296	759	89	4.92465156794425	6.72200263504611
2223	678	71	4.61538461538461	6.62536873156342
2394	904	65	5.06265664160401	6.93473451327434
2374	745	80	4.73715248525695	6.70469798657718
2302	693	58	4.35447437011295	6.19047619047619
2331	672	14	4.74560274560275	6.77827380952381
2285	820	69	5.17286652078775	7.20975609756098
2227	857	73	5.15267175572519	7.14469078179697
2336	463	20	4.40453767123288	6.48380129589633
2376	874	88	4.48569023569024	6.34210526315789
2396	547	51	4.49332220367279	6.45703839122486
2315	759	128	4.4963282937365	6.05928853754941
2374	694	60	4.53580454928391	6.68299711815562
2557	690	96	4.36918263590145	6.27101449275362
2228	749	80	4.47396768402154	6.45393858477971
2172	739	81	4.7085635359116	6.45466847090663
2359	732	60	5.00211954217889	6.87704918032787
2297	797	77	4.91423595994776	6.86198243412798
2498	610	25	4.75620496397118	6.75409836065574
2234	596	45	4.94001790510295	6.70973154362416
2476	651	69	4.13287560581583	5.85714285714286
2283	789	56	4.45247481384144	6.50063371356147
2221	737	69	4.62449347140928	6.48846675712347
2255	843	76	4.93835920177384	6.74377224199288
2297	803	81	4.98693948628646	7.16189290161893
2249	767	56	4.72565584704313	6.54628422425033
2213	842	87	4.99231812019883	6.96080760095012
2201	612	62	4.68423443889141	6.43137254901961
2171	633	89	4.58912943344081	6.43443917851501
2229	607	80	4.34679228353522	6.4168039538715
2321	749	96	4.63420939250323	6.56475300400534
2255	773	79	4.99467849223947	6.89780077619664
2140	661	64	4.93177570093458	6.65960665658094
2371	686	89	4.6490932096162	6.76239067055394
2202	769	108	4.85422343324251	6.88816644993498
2271	644	75	4.73888154997798	6.57298136645963
2258	787	91	4.10318866253322	5.81321473951715
2263	753	77	4.38753866548829	6.09428950863214
2356	644	88	4.49490662139219	6.60403726708075
2283	551	65	4.32939115199299	6.13067150635209
2280	763	86	4.91008771929825	7.09698558322412
2311	824	106	4.85547382085677	7.0618932038835
2224	593	72	4.87230215827338	6.45699831365936
2292	706	77	5.39703315881326	7.42492917847026
2359	421	93	3.8295888088173	5.67458432304038
2321	616	90	4.19302024989229	6.03409090909091
2378	431	87	3.79394449116905	5.79118329466357
2304	338	72	3.84071180555556	5.83136094674556
2169	806	69	5.1055786076533	7.02233250620347
2317	816	88	4.7583081570997	7.22916666666667
2231	855	63	4.97758852532497	7.11812865497076
2245	704	75	4.96481069042316	7.28551136363636
2282	804	86	4.91411042944785	6.91666666666667
2245	730	91	4.45389755011136	6.4027397260274
2253	639	74	4.86107412339103	6.82316118935837
2235	767	77	5.03892617449664	6.98174706649283
2248	750	87	4.47642348754448	6.57066666666667
