SUBJECT	AGE	FINGER	SPAN	ATTENTION	DFACE	DOBJ	NUMBER	GRASPING
101	46	10	4	0.23	1.15	3.07	0.63	8.98
103	47	7	3	0.15	-1.82	1.15	0.69	5.91
104	42	13	2	-0.05	0	1.82	0.88	7.92
105	48	8	2	-0.13	0	0.99	1.06	3.12
106	45	17	4	0.01	0	1.35	1.74	12.68
107	50	10	2	0.21	0.67	1.47	1.5	4.7
108	46	10	2	0.01	0.48	2.21	NA	4.96
109	37	10	2	0.1	NA	1.82	NA	13.56
110	45	10	2	0	-0.99	0.64	1.52	0.45
111	46	11	2	0.28	0.38	3.07	1.02	1.88
112	40	7	2	0.09	1.47	1.47	0.5	3.25
114	47	10	2	-0.05	0.86	2.68	0.78	-0.3
115	40	8	2	0.01	1.22	1.53	1.32	6.44
118	47	9	2	0.02	0.67	2.3	NA	13.21
119	38	12	3	0.27	0	2.68	0.9	-3.26
120	52	7	3	-0.16	1.53	1.22	0.72	3.68
121	47	11	3	0.16	0.99	2.68	0.95	6.65
122	46	12	2	0	0.86	1.82	1.68	12
124	49	15	2	0.01	1.85	2.68	NA	2.01
125	49	4	3	-0.07	1.82	3.07	0.62	4.18
127	38	11	2	-0.01	1.22	3.07	1.37	5.67
128	47	10	3	0.06	0	1.47	0.56	1.28
131	50	10	3	0.06	0.83	2.68	0.76	2.64
132	43	8	3	-0.23	0.32	2.68	0.73	3.02
133	48	8	2	0.05	1.82	2.21	NA	1.3
134	47	16	2	-0.03	1.53	2.21	NA	4.76
135	37	15	2	0.09	0	0.83	NA	1.12
136	45	11	2	-0.04	NA	0.83	1.49	4.67
138	40	13	2	0.11	0.83	2.3	NA	6.24
139	48	13	2	0.06	0.38	2.21	0.88	2.96
140	44	6	2	-0.1	0.67	2.3	NA	6.42
141	46	11	2	0.03	0	1.53	1.21	6.74
201	54	4	4	-0.05	0.48	1.85	0.7	7.86
202	51	3	4	0.07	0.83	1.85	0.69	3.51
203	59	13	2	0.3	2.3	2.68	NA	3.14
204	57	14	3	0.15	0.86	1.53	0.61	11.29
205	61	6	3	-0.04	1.15	3.07	0.61	5.44
206	59	6	4	0.08	0.48	2.21	0.63	8.69
207	55	1	4	0.13	1.22	2.68	0.78	4.48
209	60	6	4	0.01	0.99	2.21	0.82	15.89
211	55	4	2	-0.14	1.22	2.68	0.28	11.29
212	59	5	4	-0.02	1.15	1.82	0.56	7.96
213	51	10	2	0.07	1.53	1.22	0.97	9.1
215	61	4	2	0.06	2.3	1.82	1.04	3.57
216	54	9	3	0.16	1.53	1.85	0.64	11.96
217	59	9	2	0.13	0.83	1.85	0.89	13.41
218	59	8	2	0.03	0.99	1.47	0.69	6.84
219	52	14	3	-0.03	1.22	1.53	0.52	3.24
220	61	4	3	0.33	1.15	2.68	0.95	12.37
221	53	8	2	0.12	0	1.22	1.04	6.47
222	57	5	4	0.17	-0.67	1.22	0.83	6.31
223	60	4	3	-0.14	1.53	1.82	0.71	6.65
224	61	8	2	0.08	0.64	1.85	0.57	-0.52
225	54	7	2	0.04	0.83	2.68	0.95	12.67
226	61	9	3	0.12	1.53	3.07	0.66	4.8
227	58	8	2	-0.12	0.67	1.85	0.8	4.58
228	65	6	2	0.07	0	1.85	1.06	10.27
229	53	12	3	0.02	0.83	2.68	0.84	10.01
230	61	6	4	0.09	0.36	1.85	0.63	5.16
231	55	9	3	-0.02	1.35	2.3	1.09	7.95
232	61	8	4	0.05	1.15	2.68	0.74	13.33
234	59	4	4	0.18	0.83	0.99	0.42	8.09
235	56	7	3	0.25	-0.48	1.82	0.76	8.98
236	55	5	3	-0.02	NA	NA	0.74	10.82
237	62	3	4	-0.02	0.32	2.68	0.77	3.05
238	62	9	3	0.09	1.22	1.82	1.01	14.01
301	72	2	4	0.04	-0.36	2.68	0.14	10.1
302	73	4	4	-0.14	0	1.82	0.28	15.14
303	71	4	4	-0.12	0	0.99	0.42	18.67
304	71	6	4	0.29	0.48	2.21	0.5	10.43
305	72	6	4	0.03	0	2.21	0.47	9.63
306	71	4	3	-0.03	0.48	2.21	0.34	18.76
307	74	6	3	0.21	3.07	3.07	0.21	3.64
308	73	8	4	-0.09	1.22	2.68	0.94	9.2
309	65	7	3	-0.04	0.48	2.21	0.54	4.36
310	65	5	3	0.04	0.48	2.68	0.39	7.41
311	67	5	5	0.06	1.85	2.68	0.89	8.62
312	74	3	4	0.12	1.53	2.3	0.3	13.96
313	63	6	4	0.11	1.53	2.3	0.54	5.82
314	72	4	3	-0.07	1.47	2.21	0.79	6.29
315	63	4	3	0.04	1.15	1.82	0.83	9.18
316	66	1	4	0.09	2.68	2.68	0.67	9.1
317	71	5	4	0.19	1.47	1.85	0.59	15.01
318	69	6	3	-0.03	0.99	3.07	0.46	7.47
319	66	9	4	0.12	1.22	2.68	0.82	5.05
320	69	5	4	-0.06	0.86	2.68	0.84	7.94
321	62	8	2	-0.1	1.82	2.68	0.67	3.87
322	73	3	4	0.05	1.53	2.68	1.02	5.73
323	73	4	4	0.1	1.22	1.15	0.61	7.26
324	76	2	4	0.05	2.21	2.68	0.76	16.32
325	76	2	5	-0.06	1.22	2.68	0.83	14.25
326	66	5	3	-0.06	1.35	1.82	0.97	4.28
327	73	7	4	0.11	0.86	2.21	0.67	10.78
328	67	7	2	0.11	1.85	1.82	0.31	10.69
