id	split.inf.S	adv.inf.S	superlative.S	past.S	wh.question.S
A00	0	1	6	83	2
A01	0	1	9	24	10
A02	1	1	8	25	0
A03	0	3	8	423	4
A04	0	5	55	516	3
A05	0	5	20	532	5
A06	0	6	48	397	10
A07	0	4	17	747	0
A08	0	12	21	1524	23
A0A	0	0	3	33	0
A0B	1	0	20	133	0
A0C	0	5	44	329	1
A0D	0	2	27	1804	8
A0E	0	0	13	160	3
A0F	0	2	33	1733	42
A0G	3	7	66	201	6
A0H	2	9	47	123	2
A0J	0	5	21	26	23
A0K	2	12	20	495	0
A0L	1	0	19	1971	11
A0M	2	6	18	47	0
A0N	0	4	20	1581	23
A0P	0	4	54	1161	8
A0R	0	0	21	1932	20
A0S	0	0	3	1	1
A0T	0	7	30	284	13
A0U	1	2	17	1319	23
A0V	1	0	33	326	6
A0W	5	3	26	2	0
A0X	3	5	56	448	5
A0Y	0	0	9	40	3
A10	0	1	10	152	2
A11	2	8	41	988	3
A12	0	20	64	510	1
A13	0	1	4	37	1
A14	2	3	31	385	1
A15	6	5	53	631	3
A16	0	7	52	96	9
A17	3	2	39	521	5
A18	0	2	32	421	9
A19	2	5	37	326	4
A1A	0	6	34	398	2
A1B	0	4	46	787	12
A1D	0	0	5	66	0
A1E	0	1	17	142	1
A1F	0	1	9	102	0
A1G	0	2	12	205	1
A1H	0	0	4	101	0
A1J	2	2	13	252	1
A1K	0	0	6	26	0
A1L	0	0	0	19	1
A1M	0	0	4	69	2
A1N	0	6	23	429	4
A1P	0	0	3	55	0
A1R	0	0	2	35	0
A1S	0	1	14	186	0
A1T	0	3	14	114	1
A1U	0	1	9	66	0
A1V	0	4	38	497	2
A1W	0	1	2	131	0
A1X	0	0	3	79	0
A1Y	0	1	21	381	3
A20	0	0	3	13	0
A21	0	0	0	20	0
A22	0	0	9	174	0
A23	0	2	1	44	0
A24	0	0	13	22	0
A25	0	1	4	45	0
A26	0	2	10	220	0
A27	0	4	6	136	3
A28	0	0	6	240	3
A29	0	0	2	91	0
A2A	0	2	18	386	1
A2B	0	1	1	20	1
A2C	0	0	2	62	3
A2D	0	2	6	44	3
A2E	0	4	18	309	0
A2F	0	0	4	85	0
A2G	0	1	3	73	1
A2H	0	2	14	270	0
A2J	0	1	9	124	6
A2K	0	0	3	43	0
A2L	0	0	6	45	0
A2M	0	3	6	239	0
A2N	0	0	3	87	0
A2P	1	2	17	390	0
A2R	0	0	3	45	0
A2S	0	3	21	352	0
A2T	0	0	0	88	0
A2U	0	1	8	86	0
A2V	0	0	17	241	0
A2W	0	2	9	122	2
A2X	0	2	18	254	0
A2Y	0	1	5	98	0
A30	1	3	11	361	2
A31	0	1	3	45	0
A32	0	0	3	7	0
A33	0	4	14	275	0
A34	0	2	4	47	0
A35	0	1	19	104	0
A36	0	0	6	72	0
A37	0	1	17	224	0
A38	0	0	11	24	0
A39	0	0	3	18	0
A3A	0	1	11	140	1
A3B	0	0	3	14	1
A3C	0	1	16	95	1
A3D	0	0	10	217	1
A3E	0	1	4	15	1
A3F	0	0	5	68	0
A3G	0	3	16	276	0
A3H	0	0	2	13	0
A3J	0	2	6	43	0
A3K	0	0	3	13	0
A3L	0	1	19	283	1
A3M	0	0	4	29	0
A3N	0	1	5	178	0
A3P	0	0	13	138	0
A3R	0	0	1	77	0
A3S	0	3	13	140	1
A3T	0	3	10	114	2
A3U	3	2	11	206	0
A3V	0	0	5	118	0
A3W	0	5	17	236	0
A3X	0	0	1	96	2
A3Y	0	0	6	67	0
A40	0	3	18	350	0
A41	0	2	4	63	0
A42	0	0	3	43	0
A43	0	1	17	226	0
A44	1	1	9	98	2
A45	0	1	5	52	1
A46	0	4	8	231	0
A47	0	1	5	109	0
A48	0	0	3	78	0
A49	1	2	15	326	0
A4A	0	0	5	54	0
A4B	0	2	12	230	0
A4C	0	1	5	94	0
A4D	0	0	7	34	0
A4E	0	2	5	39	0
A4F	0	2	17	230	0
A4G	0	3	12	113	1
A4H	0	3	11	223	0
A4J	0	0	4	121	0
A4K	0	4	12	394	1
A4L	1	0	4	25	2
A4M	0	0	3	44	2
A4N	1	0	5	46	0
A4P	0	1	12	263	0
A4R	0	0	2	55	0
A4S	0	1	8	75	0
A4U	0	1	9	122	1
A4V	1	0	3	39	0
A4W	0	1	4	44	0
A4X	0	0	6	310	1
A4Y	0	0	7	112	0
A50	0	1	19	385	0
A51	0	0	1	23	0
A52	1	2	12	305	0
A53	0	0	4	72	0
A54	0	1	4	105	3
A55	0	5	13	208	0
A56	0	3	6	117	3
A57	0	2	6	256	2
A58	0	2	2	90	0
A59	0	2	19	415	1
A5A	0	3	1	68	0
A5B	0	0	6	30	0
A5C	0	2	19	244	0
A5D	0	0	1	71	0
A5E	0	2	12	66	1
A5F	0	2	4	69	0
A5G	0	2	14	213	0
A5H	0	0	8	19	0
A5J	0	0	8	55	0
A5K	0	2	8	160	0
A5L	0	0	2	25	1
A5M	0	2	13	237	0
A5N	0	0	10	16	0
A5P	0	0	5	93	0
A5R	0	1	17	356	0
A5S	0	1	12	43	0
A5T	0	0	5	24	0
A5U	0	5	14	323	2
A5V	0	0	6	53	0
A5W	0	1	9	176	0
A5X	0	2	11	78	0
A5Y	1	8	20	490	7
A60	0	1	9	80	5
A61	0	3	11	1700	11
A62	0	2	16	652	2
A63	0	0	4	37	20
A64	0	7	57	1455	3
A65	4	1	68	390	3
A66	0	16	27	1656	0
A67	0	3	29	629	5
A68	0	10	75	2258	8
A69	0	13	34	501	5
A6A	0	6	73	223	7
A6B	0	15	62	833	4
A6C	1	2	20	1191	7
A6D	0	20	34	441	4
A6E	0	0	17	1334	10
A6F	0	3	21	720	2
A6G	0	11	43	1064	2
A6J	0	8	18	1582	17
A6L	3	7	57	906	9
A6M	2	3	21	513	0
A6N	0	3	26	1733	5
A6R	1	2	37	525	0
A6S	3	3	41	660	3
A6T	1	9	44	1089	15
A6U	0	5	17	310	6
A6V	1	8	47	1065	7
A6W	0	5	50	539	1
A6X	0	5	65	700	2
A6Y	0	2	39	864	3
A70	0	3	48	507	5
A73	0	4	27	2204	19
A74	1	0	9	639	14
A75	0	1	16	82	16
A77	0	7	34	576	3
A79	0	7	39	694	0
A7A	0	8	12	1750	10
A7C	0	7	46	1070	5
A7D	0	5	66	593	3
A7F	2	5	42	346	1
A7G	1	2	29	114	8
A7H	0	5	40	1320	0
A7J	0	2	15	1487	14
A7K	1	3	9	321	4
A7L	1	3	37	992	1
A7N	1	2	29	282	6
A7P	0	1	24	289	2
A7S	0	4	6	86	0
A7T	0	1	5	164	0
A7U	0	0	0	9	0
A7V	1	2	7	231	3
A7W	1	6	18	667	1
A7X	0	1	0	23	0
A7Y	0	1	13	248	0
A80	1	3	10	206	1
A81	0	0	0	8	0
A82	0	0	0	0	0
A83	0	1	9	95	1
A84	0	0	2	3	0
