id	stop.to	time	click	noun	nominalization	downtoner
A00	0	16	0	389	125	9
A01	0	19	0	495	168	18
A02	0	7	0	202	76	5
A03	0	13	0	924	381	21
A04	0	61	0	1598	839	102
A05	0	83	0	1600	545	69
A06	0	77	0	1877	511	58
A07	0	72	0	1481	924	101
A08	0	116	0	2408	451	149
A0A	0	3	0	290	84	2
A0B	0	13	0	434	225	19
A0C	0	29	0	1596	500	36
A0D	0	67	0	2233	246	78
A0E	0	32	0	792	282	4
A0F	0	95	0	2170	324	93
A0G	0	69	0	2342	307	59
A0H	0	112	0	1776	550	102
A0J	0	53	0	1745	489	31
A0K	0	57	0	1198	756	102
A0L	0	140	0	2671	197	79
A0M	0	56	0	1364	354	72
A0N	0	50	2	2138	216	61
A0P	0	92	0	1746	672	118
A0R	3	67	1	2317	239	55
A0S	1	2	0	132	50	0
A0T	0	34	0	1473	828	88
A0U	2	57	2	1966	278	71
A0V	0	45	0	1049	298	27
A0W	0	16	0	644	156	32
A0X	1	60	0	1700	469	66
A0Y	0	16	0	1071	542	11
A10	0	33	0	1340	704	34
A11	0	48	0	1601	713	117
A12	0	70	1	1913	761	139
A13	0	2	0	254	78	3
A14	0	36	0	1138	303	41
A15	1	54	1	1428	379	76
A16	0	40	1	1743	368	62
A17	0	34	0	1460	240	47
A18	0	50	0	1372	451	81
A19	0	66	0	2067	874	71
A1A	0	60	0	1501	834	71
A1B	0	60	0	1837	607	113
A1D	0	9	0	158	55	16
A1E	0	15	0	447	212	26
A1F	0	17	0	402	149	22
A1G	0	14	0	444	172	19
A1H	0	3	0	133	50	4
A1J	0	13	0	628	265	32
A1K	0	4	0	85	17	4
A1L	0	2	0	85	21	2
A1M	0	7	0	226	100	6
A1N	0	24	0	641	127	42
A1P	0	2	0	96	49	4
A1R	0	4	0	58	23	11
A1S	0	15	0	527	226	23
A1T	0	6	0	389	172	25
A1U	0	3	0	193	77	9
A1V	0	18	0	970	431	33
A1W	0	13	0	163	65	8
A1X	0	10	0	174	39	6
A1Y	0	11	0	706	299	19
A20	0	4	0	78	29	2
A21	0	1	0	66	35	2
A22	0	15	0	365	92	15
A23	0	4	0	109	48	6
A24	0	2	0	149	49	10
A25	0	3	0	133	57	8
A26	0	15	0	527	215	16
A27	0	19	0	369	166	18
A28	0	20	0	499	223	20
A29	0	8	0	126	52	9
A2A	0	14	0	701	295	19
A2B	0	4	0	83	27	3
A2C	0	1	0	153	43	8
A2D	0	14	0	121	39	7
A2E	0	24	0	550	127	30
A2F	0	3	0	131	53	7
A2G	0	10	0	253	85	12
A2H	0	20	0	596	220	20
A2J	0	14	0	395	138	16
A2K	0	6	0	141	60	8
A2L	0	10	0	236	89	11
A2M	0	17	0	420	187	15
A2N	0	2	0	118	33	5
A2P	1	27	0	725	345	13
A2R	0	2	0	101	33	6
A2S	0	26	0	628	158	35
A2T	0	3	0	129	63	4
A2U	0	7	0	193	73	14
A2V	0	27	0	529	171	22
A2W	0	9	0	376	167	16
A2X	0	15	0	472	193	19
A2Y	0	7	0	136	49	4
A30	0	15	0	710	285	21
A31	0	2	0	144	70	3
A32	0	5	0	118	34	2
A33	0	22	0	555	169	19
A34	0	0	0	80	37	5
A35	0	13	0	292	87	17
A36	0	9	0	257	92	14
A37	0	22	0	474	168	19
A38	0	3	0	145	33	9
A39	0	2	0	106	33	4
A3A	0	23	0	391	131	14
A3B	0	1	0	81	32	3
A3C	0	19	0	395	93	17
A3D	0	4	0	398	192	23
A3E	0	2	0	85	28	0
A3F	0	1	0	117	49	5
A3G	0	21	0	615	240	20
A3H	0	4	0	86	16	1
A3J	0	11	0	244	85	15
A3K	0	7	0	159	82	13
A3L	0	31	0	623	158	35
A3M	0	10	0	153	38	5
A3N	0	8	0	281	77	4
A3P	0	17	0	360	50	18
A3R	0	8	0	158	55	7
A3S	0	15	0	438	216	20
A3T	0	9	0	432	165	21
A3U	0	14	0	408	193	19
A3V	0	6	0	162	52	13
A3W	0	12	0	554	277	24
A3X	0	10	0	181	21	7
A3Y	0	4	0	194	71	8
A40	0	30	0	594	140	24
A41	0	3	0	98	52	4
A42	0	5	0	125	61	12
A43	0	17	0	574	229	28
A44	0	14	0	360	170	20
A45	0	1	0	158	62	2
A46	0	7	0	533	249	39
A47	0	6	0	138	47	4
A48	0	5	0	151	35	8
A49	0	22	0	625	279	21
A4A	0	5	0	227	68	5
A4B	0	14	0	435	118	22
A4C	0	2	0	145	46	5
A4D	1	4	0	132	65	4
A4E	0	4	0	151	58	9
A4F	0	24	0	586	208	16
A4G	0	18	0	391	161	19
A4H	0	16	0	451	207	18
A4J	0	6	0	148	72	11
A4K	0	24	0	751	344	19
A4L	0	1	0	128	33	5
A4M	0	7	0	157	49	11
A4N	0	3	0	133	45	5
A4P	0	27	0	487	108	26
A4R	0	3	0	78	31	2
A4S	0	6	0	229	82	21
A4U	0	7	0	382	158	22
A4V	0	8	0	182	102	9
A4W	0	5	0	173	81	14
A4X	0	17	0	505	232	21
A4Y	0	7	0	138	32	6
A50	0	22	0	757	322	22
A51	0	5	0	89	21	2
A52	0	25	0	525	132	23
A53	0	3	0	146	80	4
A54	0	8	0	235	59	15
A55	0	12	0	514	223	19
A56	0	11	0	398	159	13
A57	0	19	0	506	210	23
A58	0	3	0	118	60	0
A59	0	28	0	793	326	24
A5A	0	10	0	196	108	10
A5B	0	6	0	161	54	6
A5C	0	24	0	518	120	26
A5D	0	5	0	103	67	0
A5E	0	8	0	230	71	18
A5F	0	4	0	212	73	10
A5G	0	20	0	508	216	19
A5H	0	6	0	164	29	10
A5J	0	5	0	108	47	7
A5K	0	18	0	382	122	25
A5L	0	3	0	131	28	5
A5M	1	16	0	421	182	18
A5N	0	7	0	110	13	7
A5P	0	8	0	136	59	2
A5R	0	21	0	684	289	29
A5S	0	8	0	304	108	18
A5T	0	2	0	156	54	12
A5U	0	33	1	713	148	32
A5V	0	4	0	113	26	5
A5W	0	9	0	253	94	10
A5X	0	10	1	341	88	17
A5Y	0	63	0	1636	757	84
A60	0	18	0	908	482	21
A61	0	119	0	2234	369	58
A62	0	56	0	1070	533	102
A63	0	7	0	531	204	6
A64	0	61	0	1786	796	147
A65	2	33	1	2024	454	44
A66	0	95	0	1809	978	162
A67	0	51	0	1627	628	40
A68	0	121	0	2408	729	93
A69	0	60	0	1471	868	98
A6A	0	89	0	2355	735	89
A6B	0	65	0	2049	932	118
A6C	2	71	0	1766	248	43
A6D	0	53	0	1695	1011	148
A6E	0	105	0	1337	100	47
A6F	0	57	0	1559	1000	82
A6G	0	54	0	1554	966	90
A6J	1	76	0	1642	318	91
A6L	0	116	1	1998	702	65
A6M	0	51	0	1151	750	105
A6N	2	76	0	1929	179	62
A6R	0	29	0	1680	204	56
A6S	1	85	0	1385	771	85
A6T	2	138	0	2235	298	103
A6U	0	26	0	1042	542	68
A6V	0	84	0	2103	575	125
A6W	0	52	1	1439	357	110
A6X	0	55	0	1736	458	80
A6Y	0	53	0	1273	507	84
A70	0	56	0	2501	311	63
A73	0	67	0	2534	216	91
A74	2	47	0	2302	78	40
A75	0	218	0	1486	558	68
A77	0	84	0	1854	583	85
A79	0	28	0	1300	648	107
A7A	0	51	1	1949	237	87
A7C	0	63	0	1503	481	116
A7D	0	67	0	2232	435	86
A7F	0	36	0	1456	496	38
A7G	0	37	0	1333	355	37
A7H	0	123	1	1694	451	60
A7J	0	62	0	1655	204	36
A7K	0	54	0	1485	373	35
A7L	0	66	0	1319	687	97
A7N	0	45	0	1383	241	50
A7P	0	33	0	1146	178	30
A7S	0	6	0	229	73	13
A7T	0	10	0	372	164	23
A7U	0	0	0	13	5	1
A7V	0	7	0	409	179	21
A7W	0	25	0	1139	508	34
A7X	0	1	0	41	9	1
A7Y	0	13	0	516	191	22
A80	0	16	0	453	92	24
A81	0	3	0	47	16	2
A82	0	0	0	11	2	1
A83	0	9	0	351	100	12
A84	0	0	0	23	7	0
A85	0	9	0	437	174	14
A86	0	0	0	40	8	1
A87	0	23	0	476	229	25
A88	0	14	0	603	243	28
A89	0	18	0	720	174	34
A8A	0	0	0	20	5	0
A8B	0	5	0	142	37	2
A8C	0	24	0	560	114	38
A8D	0	16	0	317	129	10
A8E	0	4	0	288	110	17
A8F	0	37	0	820	233	45
A8G	0	5	0	160	58	11
A8H	0	14	0	385	161	22
A8J	0	4	0	362	167	7
A8K	1	22	0	1122	508	65
A8L	0	0	0	63	15	3
A8M	0	4	0	160	53	6
A8N	0	23	0	544	113	31
A8P	0	5	0	101	43	6
A8R	0	7	1	348	105	18
A8S	0	4	0	73	21	3
A8T	0	0	0	31	15	0
A8U	0	7	0	405	144	21
A8V	0	0	0	13	4	0
A8W	0	12	0	474	217	16
A8X	0	28	0	1051	498	38
A8Y	0	26	0	289	81	10
A90	0	20	0	608	148	17
A91	0	4	0	140	31	2
A92	0	11	0	329	105	13
A93	0	7	0	125	27	1
A94	0	10	0	458	175	38
A95	0	9	0	474	206	19
A96	0	31	0	1016	469	44
A97	0	2	0	38	12	2
A98	0	8	0	298	134	17
A99	0	25	0	449	103	26
A9A	0	3	0	124	56	5
A9B	0	0	0	1	1	0
A9C	0	4	0	115	38	4
A9D	0	23	0	1013	396	68
A9E	0	19	0	803	366	37
A9F	0	26	0	882	336	34
A9G	0	0	0	9	1	0
A9H	0	58	0	1068	239	62
A9J	0	7	0	149	79	10
A9K	0	2	0	46	19	0
A9L	0	1	0	151	65	3
A9M	0	6	0	475	232	23
A9N	0	15	0	572	288	16
A9P	0	1	0	24	5	3
A9R	0	25	0	597	116	32
A9S	0	1	0	34	13	0
A9T	0	15	0	433	83	21
A9U	0	8	0	337	146	24
A9V	0	13	0	306	185	9
A9W	1	26	0	895	420	36
A9X	0	4	0	25	4	2
A9Y	0	1	0	17	6	0
AA0	0	18	0	440	93	24
AA1	0	18	0	703	255	27
AA2	0	6	0	229	60	12
AA3	0	14	0	381	180	20
AA4	0	5	0	358	175	25
AA5	0	26	0	825	370	22
AA6	0	0	0	57	5	4
AA7	0	21	0	392	97	16
AA8	0	53	0	852	306	36
AA9	0	41	0	855	232	40
AAA	0	5	0	312	136	14
AAB	0	13	0	437	220	14
AAC	0	19	0	801	365	28
AAD	0	2	0	63	8	4
AAE	0	22	0	511	113	27
AAF	1	15	0	839	261	38
AAG	0	11	0	258	98	12
AAH	0	13	0	260	65	15
AAJ	0	14	0	305	144	18
AAK	0	11	0	422	213	15
AAL	1	16	0	980	414	31
AAM	0	2	0	95	10	1
AAN	0	14	0	413	81	26
AAP	0	10	0	349	163	12
AAR	0	1	0	105	33	1
AAS	0	24	0	425	171	24
AAT	0	5	0	300	150	16
AAU	0	6	0	474	188	15
AAV	0	35	0	1041	231	38
AAW	0	26	0	555	116	25
AAX	0	7	0	331	124	10
AAY	0	14	0	570	207	17
AB3	0	53	1	1657	567	65
AB4	0	69	0	1503	253	74
AB5	0	174	1	1516	213	60
AB6	0	57	0	1513	825	82
AB9	3	60	0	1989	333	84
ABA	0	67	0	1307	787	67
ABB	0	37	0	2201	232	93
ABC	0	59	0	1698	626	127
ABD	0	71	0	2802	908	144
ABE	0	98	0	3146	1044	151
ABF	0	84	0	3133	1152	171
ABG	0	82	0	3133	1072	142
ABH	0	81	0	3183	1028	166
ABJ	0	135	0	4159	1392	188
ABK	0	75	0	3025	1094	157
ABL	0	76	0	1250	357	92
ABM	0	34	0	1584	838	102
ABP	0	80	0	1340	771	113
ABR	0	120	0	1343	269	179
ABS	0	109	0	3045	498	121
ABU	0	58	0	1749	823	80
ABV	0	69	0	2020	696	71
ABW	0	66	0	2000	295	85
ABX	1	68	0	2812	40	54
AC0	0	14	0	334	148	18
AC2	0	65	0	1976	561	49
AC3	0	96	0	2364	188	113
AC4	3	70	2	2263	146	105
AC5	1	72	0	2371	118	67
AC6	1	101	0	2127	371	103
AC7	0	106	0	1496	170	92
AC9	0	63	0	1695	826	81
ACA	0	48	0	1253	453	69
ACB	2	64	4	2328	173	108
ACE	0	94	1	2647	327	102
ACG	0	70	0	1817	419	103
ACH	0	47	0	1425	871	87
ACJ	0	29	0	1234	799	89
ACK	1	86	2	2317	124	38
ACL	1	76	0	1446	721	68
ACM	1	69	0	1380	245	35
ACN	0	82	0	2251	494	68
ACP	0	82	0	2113	470	68
ACR	0	96	2	3236	968	113
ACS	0	78	0	1731	606	111
ACV	1	47	4	2057	235	61
ACW	3	70	1	1585	151	77
ACX	0	48	0	2453	336	60
ACY	0	32	0	1325	205	39
AD0	0	96	0	1832	293	78
AD1	1	66	2	2325	250	91
AD2	0	46	0	1373	691	85
AD7	0	56	0	887	175	61
AD9	0	90	1	2527	430	89
ADA	0	76	1	1988	365	106
ADB	0	69	0	1433	583	115
ADC	0	71	0	1400	790	71
ADD	0	72	0	1192	733	182
ADE	1	126	0	1089	333	35
ADF	1	81	0	1568	468	89
ADG	2	80	1	1473	193	66
ADH	0	41	0	802	415	61
ADK	1	111	1	1850	587	71
ADL	0	58	1	1529	464	86
ADM	1	59	0	2238	249	70
ADP	0	125	0	1723	411	70
ADR	0	118	0	1832	299	60
ADS	0	66	0	1413	235	118
ADW	0	46	0	1469	826	75
ADX	0	41	0	2174	826	43
ADY	1	85	1	2198	234	83
AE0	1	87	1	2602	324	114
AE4	1	50	0	1257	567	113
AE6	0	43	0	1482	680	102
AE7	1	43	0	1630	756	113
AE8	3	68	0	1893	588	84
AE9	0	84	0	1296	565	52
AEA	4	42	0	1431	255	56
AEB	0	69	1	2159	170	71
AH9	0	0	0	16	5	3
AHA	2	40	0	1178	312	45
AHB	0	18	0	743	337	41
AHC	0	60	0	1750	372	108
AHD	0	10	0	208	59	14
AHE	0	2	0	46	16	0
AHF	0	41	0	1257	459	56
AHG	0	44	0	1288	377	83
AHH	0	0	0	5	2	1
AHJ	0	43	0	1051	362	55
AHK	0	93	0	1787	338	122
AHL	0	6	1	116	52	8
AHM	0	5	0	125	45	3
AHN	0	69	0	2077	813	88
AHP	0	4	0	145	62	8
AHR	0	7	0	341	101	8
AHS	0	0	0	16	9	1
AHT	0	18	1	787	338	43
AHU	0	70	0	1634	383	76
AHV	0	1	0	85	30	1
AHW	0	0	0	46	24	2
AHX	0	43	0	1454	589	56
AHY	0	9	0	310	101	14
AJ0	0	9	0	275	84	5
AJ1	0	1	0	21	12	0
AJ2	0	26	0	643	289	34
AJ3	0	34	0	781	226	32
AJ4	0	1	0	42	16	0
AJ5	0	9	0	149	57	2
AJ6	0	27	0	1064	487	40
AJ7	0	1	0	31	11	4
AJ8	0	20	0	492	143	28
AJ9	0	15	0	660	259	32
AJA	0	46	0	1245	342	53
AJB	0	4	0	109	35	5
AJC	0	1	0	22	7	1
AJD	1	46	0	1322	468	57
AJE	0	1	0	19	7	0
AJF	0	6	0	283	86	14
AJG	0	0	0	29	14	2
AJH	0	14	0	511	237	23
AJJ	0	40	0	790	185	39
AJK	0	4	0	90	37	2
AJL	0	4	0	123	45	1
AJM	0	48	0	1212	433	66
AJN	0	12	0	466	104	18
AJP	0	11	0	445	205	19
AJR	0	21	0	593	121	19
AJS	0	1	0	52	11	5
AJT	0	8	0	131	32	7
AJU	0	43	0	1334	500	61
AJV	0	30	0	903	289	44
AJW	0	1	0	30	20	2
AJX	0	18	0	682	287	45
AJY	1	64	0	2065	391	76
