collocate	f.in	N.in	f.out	N.out
British	12	9117	35389	96832994
England	7	9117	22905	96832994
I	54	9117	862169	96832994
Jones	5	9117	4574	96832994
Mr	8	9117	51352	96832994
Scotland	5	9117	13040	96832994
a	188	9117	2169779	96832994
activity	5	9117	22884	96832994
actually	6	9117	25448	96832994
administration	8	9117	6796	96832994
affair	39	9117	10336	96832994
all	32	9117	277604	96832994
also	18	9117	123547	96832994
an	21	9117	337724	96832994
and	262	9117	2621682	96832994
any	7	9117	122144	96832994
army	5	9117	12160	96832994
arrangement	7	9117	8932	96832994
as	38	9117	654797	96832994
assistant	7	9117	4126	96832994
at	54	9117	523247	96832994
authority	5	9117	31106	96832994
back	7	9117	98529	96832994
be	712	9117	3739378	96832994
because	7	9117	101100	96832994
become	7	9117	66210	96832994
being	35	9117	89463	96832994
body	6	9117	31476	96832994
both	5	9117	67436	96832994
broadcasting	5	9117	1581	96832994
building	8	9117	25300	96832994
but	15	9117	446647	96832994
by	17	9117	513372	96832994
cabinet	10	9117	6748	96832994
campaign	5	9117	11180	96832994
can	10	9117	233201	96832994
captain	7	9117	5646	96832994
case	30	9117	63352	96832994
chief	8	9117	12079	96832994
child	10	9117	69402	96832994
church	5	9117	23467	96832994
civil	7	9117	8482	96832994
class	6	9117	24274	96832994
club	7	9117	20214	96832994
colonel	5	9117	1874	96832994
commission	11	9117	11584	96832994
commissioner	7	9117	2340	96832994
committee	5	9117	21565	96832994
company	16	9117	57536	96832994
consultant	7	9117	3165	96832994
control	5	9117	33037	96832994
coordination	5	9117	1228	96832994
council	7	9117	34682	96832994
county	5	9117	12836	96832994
course	5	9117	57043	96832994
day	7	9117	92298	96832994
defence	11	9117	12978	96832994
department	29	9117	21746	96832994
deputy	30	9117	4985	96832994
destiny	8	9117	793	96832994
detective	5	9117	2462	96832994
development	14	9117	37073	96832994
director	21	9117	16398	96832994
district	5	9117	9303	96832994
division	7	9117	11134	96832994
drive	5	9117	16657	96832994
drunk	14	9117	2278	96832994
duty	9	9117	11657	96832994
each	8	9117	60437	96832994
economic	17	9117	23321	96832994
economy	5	9117	12260	96832994
education	12	9117	25857	96832994
engineer	9	9117	4719	96832994
er	7	9117	78272	96832994
erm	10	9117	47768	96832994
executive	6	9117	9237	96832994
father	6	9117	24012	96832994
finance	10	9117	9148	96832994
find	7	9117	91765	96832994
firmly	6	9117	3813	96832994
first	5	9117	120801	96832994
for	42	9117	880682	96832994
force	8	9117	27302	96832994
foreign	9	9117	16033	96832994
formerly	5	9117	1975	96832994
from	16	9117	425902	96832994
general	10	9117	38568	96832994
get	5	9117	213705	96832994
girl	5	9117	23654	96832994
government	18	9117	66509	96832994
group	19	9117	61045	96832994
have	215	9117	2040498	96832994
he	102	9117	640634	96832994
her	15	9117	303715	96832994
here	5	9117	68144	96832994
him	17	9117	153707	96832994
himself	5	9117	28987	96832994
his	38	9117	409786	96832994
horse	5	9117	12269	96832994
if	8	9117	253727	96832994
in	65	9117	1946956	96832994
inquiry	11	9117	4320	96832994
inspector	13	9117	3578	96832994
intelligence	5	9117	3432	96832994
interview	5	9117	9003	96832994
into	5	9117	157870	96832994
investigation	20	9117	6720	96832994
it	30	9117	1056213	96832994
its	9	9117	160559	96832994
know	10	9117	155562	96832994
lady	5	9117	12370	96832994
leave	6	9117	27109	96832994
leaving	5	9117	9450	96832994
left	22	9117	44232	96832994
library	6	9117	10218	96832994
like	11	9117	155832	96832994
live	5	9117	35182	96832994
local	6	9117	46809	96832994
long	5	9117	73687	96832994
making	5	9117	27101	96832994
man	56	9117	96464	96832994
manager	25	9117	19559	96832994
marketing	5	9117	5184	96832994
matter	5	9117	31027	96832994
may	5	9117	111443	96832994
me	6	9117	131446	96832994
military	6	9117	11289	96832994
minister	103	9117	30627	96832994
ministry	10	9117	5444	96832994
mission	7	9117	3128	96832994
more	5	9117	209692	96832994
murder	5	9117	8233	96832994
my	11	9117	146705	96832994
national	11	9117	38053	96832994
negotiation	5	9117	4807	96832994
new	15	9117	125058	96832994
not	12	9117	769294	96832994
now	21	9117	139341	96832994
nurse	5	9117	5987	96832994
of	170	9117	3049573	96832994
office	11	9117	29074	96832994
officer	63	9117	17598	96832994
official	20	9117	15354	96832994
on	20	9117	731179	96832994
one	19	9117	306406	96832994
only	8	9117	148772	96832994
operation	46	9117	15924	96832994
or	20	9117	367967	96832994
organization	5	9117	21734	96832994
our	7	9117	93409	96832994
own	23	9117	72567	96832994
partner	8	9117	8945	96832994
party	13	9117	52356	96832994
people	19	9117	115581	96832994
person	20	9117	28685	96832994
place	18	9117	67004	96832994
planning	21	9117	14501	96832994
police	12	9117	28082	96832994
policy	23	9117	34563	96832994
political	5	9117	30108	96832994
portfolio	7	9117	1934	96832994
post	6	9117	12555	96832994
presidency	15	9117	1161	96832994
president	7	9117	17030	96832994
prime	16	9117	12302	96832994
principal	5	9117	5134	96832994
process	6	9117	27913	96832994
production	8	9117	16044	96832994
programme	6	9117	31224	96832994
project	6	9117	21445	96832994
public	11	9117	38596	96832994
put	95	9117	67788	96832994
reform	10	9117	9522	96832994
relation	11	9117	18572	96832994
remain	17	9117	26570	96832994
report	5	9117	39751	96832994
research	7	9117	27533	96832994
road	5	9117	22810	96832994
say	25	9117	302135	96832994
school	9	9117	52325	96832994
scientific	5	9117	5794	96832994
secretary	9	9117	15762	96832994
section	6	9117	23421	96832994
security	30	9117	15568	96832994
see	7	9117	180218	96832994
senior	15	9117	7116	96832994
sergeant	9	9117	1756	96832994
servant	5	9117	4514	96832994
service	16	9117	55374	96832994
she	22	9117	352850	96832994
should	9	9117	106854	96832994
side	8	9117	38807	96832994
situation	8	9117	19561	96832994
small	7	9117	51359	96832994
so	9	9117	239541	96832994
social	10	9117	41649	96832994
special	11	9117	22095	96832994
staff	11	9117	23067	96832994
state	46	9117	57700	96832994
station	9	9117	14031	96832994
still	11	9117	72233	96832994
such	10	9117	107307	96832994
superintendent	9	9117	922	96832994
teacher	9	9117	20159	96832994
team	19	9117	23051	96832994
tell	5	9117	68198	96832994
