id	split.inf.S	adv.inf.S	superlative.S	past.S	wh.question.S	stop.to	time	click	noun	nominalization	downtoner
A00	0	1	6	83	2	0	16	0	389	125	9
A01	0	1	9	24	10	0	19	0	495	168	18
A02	1	1	8	25	0	0	7	0	202	76	5
A03	0	3	8	423	4	0	13	0	924	381	21
A04	0	5	55	516	3	0	61	0	1598	839	102
A05	0	5	20	532	5	0	83	0	1600	545	69
A06	0	6	48	397	10	0	77	0	1877	511	58
A07	0	4	17	747	0	0	72	0	1481	924	101
A08	0	12	21	1524	23	0	116	0	2408	451	149
A0A	0	0	3	33	0	0	3	0	290	84	2
A0B	1	0	20	133	0	0	13	0	434	225	19
A0C	0	5	44	329	1	0	29	0	1596	500	36
A0D	0	2	27	1804	8	0	67	0	2233	246	78
A0E	0	0	13	160	3	0	32	0	792	282	4
A0F	0	2	33	1733	42	0	95	0	2170	324	93
A0G	3	7	66	201	6	0	69	0	2342	307	59
A0H	2	9	47	123	2	0	112	0	1776	550	102
A0J	0	5	21	26	23	0	53	0	1745	489	31
A0K	2	12	20	495	0	0	57	0	1198	756	102
A0L	1	0	19	1971	11	0	140	0	2671	197	79
A0M	2	6	18	47	0	0	56	0	1364	354	72
A0N	0	4	20	1581	23	0	50	2	2138	216	61
A0P	0	4	54	1161	8	0	92	0	1746	672	118
A0R	0	0	21	1932	20	3	67	1	2317	239	55
A0S	0	0	3	1	1	1	2	0	132	50	0
A0T	0	7	30	284	13	0	34	0	1473	828	88
A0U	1	2	17	1319	23	2	57	2	1966	278	71
A0V	1	0	33	326	6	0	45	0	1049	298	27
A0W	5	3	26	2	0	0	16	0	644	156	32
A0X	3	5	56	448	5	1	60	0	1700	469	66
A0Y	0	0	9	40	3	0	16	0	1071	542	11
A10	0	1	10	152	2	0	33	0	1340	704	34
A11	2	8	41	988	3	0	48	0	1601	713	117
A12	0	20	64	510	1	0	70	1	1913	761	139
A13	0	1	4	37	1	0	2	0	254	78	3
A14	2	3	31	385	1	0	36	0	1138	303	41
A15	6	5	53	631	3	1	54	1	1428	379	76
A16	0	7	52	96	9	0	40	1	1743	368	62
A17	3	2	39	521	5	0	34	0	1460	240	47
A18	0	2	32	421	9	0	50	0	1372	451	81
A19	2	5	37	326	4	0	66	0	2067	874	71
A1A	0	6	34	398	2	0	60	0	1501	834	71
A1B	0	4	46	787	12	0	60	0	1837	607	113
A1D	0	0	5	66	0	0	9	0	158	55	16
A1E	0	1	17	142	1	0	15	0	447	212	26
A1F	0	1	9	102	0	0	17	0	402	149	22
