id	passive	n_w	n_s	cat	genre	lang
A01	33	2254	82	A	press reportage	AmE
A02	20	2303	81	A	press reportage	AmE
A03	23	2269	74	A	press reportage	AmE
A04	22	2217	66	A	press reportage	AmE
A05	29	2244	83	A	press reportage	AmE
A06	18	2273	82	A	press reportage	AmE
A07	25	2282	89	A	press reportage	AmE
A08	20	2186	82	A	press reportage	AmE
A09	29	2263	81	A	press reportage	AmE
A10	21	2282	80	A	press reportage	AmE
A11	14	2280	63	A	press reportage	AmE
A12	8	2379	92	A	press reportage	AmE
A13	10	2304	85	A	press reportage	AmE
A14	21	2349	114	A	press reportage	AmE
A15	15	2358	90	A	press reportage	AmE
A16	7	2432	83	A	press reportage	AmE
A17	20	2346	81	A	press reportage	AmE
A18	15	2320	81	A	press reportage	AmE
A19	32	2269	81	A	press reportage	AmE
A20	33	2318	74	A	press reportage	AmE
A21	33	2238	74	A	press reportage	AmE
A22	31	2305	80	A	press reportage	AmE
A23	23	2320	84	A	press reportage	AmE
A24	38	2275	93	A	press reportage	AmE
A25	17	2344	84	A	press reportage	AmE
A26	20	2282	97	A	press reportage	AmE
A27	16	2280	79	A	press reportage	AmE
A28	20	2284	77	A	press reportage	AmE
A29	20	2382	97	A	press reportage	AmE
A30	17	2291	96	A	press reportage	AmE
A31	20	2362	65	A	press reportage	AmE
A32	23	2331	101	A	press reportage	AmE
A33	16	2307	91	A	press reportage	AmE
A34	19	2233	76	A	press reportage	AmE
A35	21	2217	69	A	press reportage	AmE
A36	28	2232	75	A	press reportage	AmE
A37	16	2308	72	A	press reportage	AmE
A38	9	2217	82	A	press reportage	AmE
A39	8	2465	103	A	press reportage	AmE
A40	14	2383	86	A	press reportage	AmE
A41	13	2290	88	A	press reportage	AmE
A42	13	2340	81	A	press reportage	AmE
A43	22	2302	110	A	press reportage	AmE
A44	20	2280	80	A	press reportage	AmE
B01	28	2216	85	B	press editorial	AmE
B02	23	2234	85	B	press editorial	AmE
B03	24	2242	82	B	press editorial	AmE
B04	24	2232	100	B	press editorial	AmE
B05	21	2273	86	B	press editorial	AmE
B06	17	2243	87	B	press editorial	AmE
B07	24	2248	77	B	press editorial	AmE
B08	11	2395	119	B	press editorial	AmE
B09	20	2307	115	B	press editorial	AmE
B10	17	2312	115	B	press editorial	AmE
B11	11	2305	79	B	press editorial	AmE
B12	14	2291	68	B	press editorial	AmE
B13	23	2277	121	B	press editorial	AmE
B14	16	2272	99	B	press editorial	AmE
B15	18	2296	81	B	press editorial	AmE
B16	16	2251	79	B	press editorial	AmE
B17	27	2245	83	B	press editorial	AmE
B18	26	2187	76	B	press editorial	AmE
B19	19	2261	86	B	press editorial	AmE
B20	27	2282	93	B	press editorial	AmE
B21	26	2277	70	B	press editorial	AmE
B22	15	2294	85	B	press editorial	AmE
B23	25	2331	119	B	press editorial	AmE
B24	15	2330	79	B	press editorial	AmE
B25	17	2357	66	B	press editorial	AmE
B26	17	2303	79	B	press editorial	AmE
B27	22	2274	85	B	press editorial	AmE
E01	16	2311	73	E	skills / hobbies	AmE
E02	19	2284	111	E	skills / hobbies	AmE
E03	29	2258	92	E	skills / hobbies	AmE
E04	20	2314	90	E	skills / hobbies	AmE
E05	21	2240	86	E	skills / hobbies	AmE
E06	36	2233	91	E	skills / hobbies	AmE
E07	37	2402	118	E	skills / hobbies	AmE
E08	52	2216	96	E	skills / hobbies	AmE
E09	10	2429	90	E	skills / hobbies	AmE
E10	15	2475	93	E	skills / hobbies	AmE
E11	17	2332	90	E	skills / hobbies	AmE
E12	15	2274	87	E	skills / hobbies	AmE
E13	17	2258	71	E	skills / hobbies	AmE
E14	6	2328	120	E	skills / hobbies	AmE
E15	22	2289	133	E	skills / hobbies	AmE
E16	55	2244	125	E	skills / hobbies	AmE
E17	33	2231	85	E	skills / hobbies	AmE
E18	33	2287	67	E	skills / hobbies	AmE
E19	22	2239	98	E	skills / hobbies	AmE
E20	23	2266	108	E	skills / hobbies	AmE
E21	25	2226	92	E	skills / hobbies	AmE
