to	ty	se	towl	tywl
2249	863	106	4.45442418852824	6.24797219003476
2289	926	92	4.43337702053298	6.13606911447084
2225	846	65	4.57887640449438	6.35933806146572
2230	819	77	4.61973094170404	6.39072039072039
2274	916	103	4.47097625329815	6.33296943231441
2311	906	119	4.25919515361315	6.04746136865342
2335	888	100	4.05738758029979	5.7972972972973
2237	863	97	4.29369691551185	5.89803012746234
2344	923	117	4.07081911262799	5.92199349945829
2352	945	119	4.1483843537415	5.98412698412698
2238	881	70	4.41867739052726	6.11464245175936
2355	878	110	4.13163481953291	5.95216400911162
2481	1025	107	4.30229746070133	6.01560975609756
2260	868	92	4.41017699115044	6.22119815668203
2182	858	74	4.5288725939505	6.27622377622378
2273	903	122	4.23317201935768	5.81727574750831
2283	908	71	4.39816031537451	6.40969162995595
2330	864	88	4.25107296137339	6.35648148148148
2348	908	99	3.98083475298126	5.8215859030837
2197	893	97	4.57441966317706	6.25531914893617
2254	865	91	4.31765749778172	6.04046242774566
2327	941	108	4.3072625698324	5.76089266737513
2272	971	105	4.20378521126761	5.87538619979403
2361	899	114	4.01058873358746	5.71301446051168
2233	855	87	4.53291536050157	6.24444444444444
2367	810	112	3.93874102239121	5.96913580246914
2268	959	84	4.52513227513228	6.1689259645464
2289	834	114	4.4089121887287	5.96642685851319
2250	812	75	4.46622222222222	6.30665024630542
2297	732	120	4.23683064867218	6.26092896174863
2214	793	89	4.53523035230352	6.21311475409836
2283	813	77	4.20324134910206	5.81918819188192
2293	932	102	4.22590492804187	5.92167381974249
2279	882	89	4.17770952172005	5.80725623582766
2362	708	129	3.86748518204911	5.67090395480226
2255	770	85	4.41729490022173	5.95714285714286
2321	941	90	4.30762602326583	6.24548352816153
2313	911	111	4.53437094682231	6.33479692645445
2415	932	105	3.84182194616977	5.57832618025751
2312	961	107	4.14576124567474	5.91779396462019
2329	903	152	4.19493344783169	5.83499446290144
2295	901	81	4.39302832244009	6.18201997780244
2310	839	96	4.05021645021645	5.65435041716329
2219	849	80	4.5214060387562	6.2979976442874
2219	823	116	4.36728255971158	6.19076549210207
2207	766	80	4.4100589034889	6.34725848563969
2182	883	104	4.51466544454629	6.46545866364666
2279	968	178	4.27863097849934	5.97004132231405
2281	920	99	4.11573871109163	5.98478260869565
2223	865	85	4.58074673864148	6.11445086705202
2232	781	88	4.35483870967742	6.22151088348271
2250	875	109	4.21022222222222	6.11771428571429
2243	904	75	4.38921087828801	6.23230088495575
2278	905	93	4.40517998244074	6.26298342541436
2237	875	77	4.58649977648637	6.43428571428571
2218	843	86	4.42335437330929	6.31553973902728
2221	835	138	4.16974335884737	5.91017964071856
2276	779	132	4.17311072056239	6.0385109114249
